year,conference,paper_title,paper_url,authors,openalex_id,doi,oa_title,authorships,match_route
2017,SODA,A (2 + Є) Approximation for Maximum Weight Matching in the Semi-Streaming Model,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=A+(2+++Є)+Approximation+for+Maximum+Weight+Matching+in+the+Semi-Streaming+Model&as_oq=&as_eq=&as_occt=any&as_sauthors=Paz,"Ami Paz, Institut de Recherche en Informatique Fondamentale Gregory Schwartzman, National Institute of Informatics",,,,,GS→title→OA
2016,OSDI,Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data,https://www.semanticscholar.org/paper/f70052c91dc7c75a215d4dbc8c473db84414ced0,"Tyler Hunt, University of Texas at Austin ; et al. Zhiting Zhu, University of Texas at Austin Yuanzhong Xu, University of Texas at Austin Simon Peter, University of Texas at Austin Emmett Witchel, University of Texas at Austin",,,,,SS→title→OA
2016,OSDI,Early Detection of Configuration Errors to Reduce Failure Damage,https://www.semanticscholar.org/paper/b2abc9a3f374ab7191e321025106b2b24775b785,"Tianyin Xu, University of California, San Diego ; et al. Xinxin Jin, University of California, San Diego Peng Huang, University of California, San Diego Yuanyuan Zhou, University of California, San Diego Shan Lu, University of Chicago Long Jin, University of California, San Diego Shankar Pasupathy, NetApp",,,,,SS→title→OA
2015,CHI,"""I always assumed that I wasn't really that close to [her]"": Reasoning about Invisible Algorithms in News Feeds",https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq='I+always+assumed+that+I+wasn't+really+that+close+to+her':+Reasoning+about+Invisible+Algorithms+in+News+Feeds&as_oq=&as_eq=&as_occt=any&as_sauthors=Eslami,"Motahhare Eslami, University of Illinois at Urbana–Champaign ; et al. Aimee Rickman, California State University Kristen Vaccaro, University of Illinois at Urbana–Champaign Amirhossein Aleyasen, University of Illinois at Urbana–Champaign Andy Vuong, University of Illinois at Urbana–Champaign Karrie Karahalios, University of Illinois at Urbana–Champaign Kevin Hamilton, University of Illinois at Urbana–Champaign Christian Sandvig, University of Michigan",,,,,GS→title→OA
2013,CHI,At Home with Agents: Exploring Attitudes Towards Future Smart Energy Infrastructures,https://www.semanticscholar.org/paper/f87b49e10426c1c23c985ba2ede48bade2238069,"Tom Rodden, University of Nottingham ; et al. Joel E. Fischer, University of Nottingham Nadia Pantidi, University of Nottingham Khaled Bachour, University of Nottingham Stuart Moran, University of Nottingham",,,,,SS→title→OA
2013,IJCAI,Bayesian Optimization in High Dimensions via Random Embeddings,https://www.semanticscholar.org/paper/75a0a299e4bbcd1123e9000766ddaad13ec8ae10,"Ziyu Wang, University of British Columbia ; et al. Masrour Zoghi, University of Amsterdam Frank Hutter, Freiberg University of Mining and Technology David Matheson, University of British Columbia Nando de Freitas, University of British Columbia",,,,,SS→title→OA
2012,CHI,Communitysourcing: Engaging Local Crowds to Perform Expert Work Via Physical Kiosks,https://www.semanticscholar.org/paper/b8a935bb46109e0451c07c3e6316f147336d67bf,"Kurtis Heimerl, University of California, Berkeley ; et al. Brian Gawalt, University of California, Berkeley Kuang Chen, University of California, Berkeley Tapan S. Parikh, University of California, Berkeley Björn Hartmann, University of California, Berkeley",,,,,SS→title→OA
2012,CHI,"Touché: Enhancing Touch Interaction on Humans, Screens, Liquids, and Everyday Objects","https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Touché:+Enhancing+Touch+Interaction+on+Humans,+Screens,+Liquids,+and+Everyday+Objects&as_oq=&as_eq=&as_occt=any&as_sauthors=Sato","Munehiko Sato, Disney Research ; et al. Ivan Poupyrev, Disney Research Chris Harrison, Disney Research",,,,,GS→title→OA
2012,CHI,ClayVision: The (Elastic) Image of the City,https://www.semanticscholar.org/paper/17adb108a140da2b0deb5dfde664d13a20ba1944,"Yuichiro Takeuchi, Sony Ken Perlin, New York University",,,,,SS→title→OA
2012,S&P,Don't Trust Satellite Phones: A Security Analysis of Two Satphone Standards,https://www.semanticscholar.org/paper/62da6562b1b3f7c4fc9592abf21880175a251132,"Benedikt Driessen, Ruhr University Bochum ; et al. Ralf Hund, Ruhr University Bochum Carsten Willems, Ruhr University Bochum Christof Paar, Ruhr University Bochum Thorsten Holz, Ruhr University Bochum",,,,,SS→title→OA
2012,UIST,Jamming User Interfaces: Programmable Particle Stiffness and Sensing for Malleable and Shape-Changing Devices,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Jamming+User+Interfaces:+Programmable+Particle+Stiffness+and+Sensing+for+Malleable+and+Shape-Changing+Devices&as_oq=&as_eq=&as_occt=any&as_sauthors=Follmer,"Sean Follmer, Massachusetts Institute of Technology ; et al. Daniel Leithinger, Massachusetts Institute of Technology Alex Olwal, Massachusetts Institute of Technology Nadia Cheng, Massachusetts Institute of Technology Hiroshi Ishii, Massachusetts Institute of Technology",,,,,GS→title→OA
2011,CHI,Bricolage: Example-Based Retargeting for Web Design,https://www.semanticscholar.org/paper/11254a1733077a6ffb11618d7eed259475e5bc76,"Ranjitha Kumar, Stanford University ; et al. Jerry Talton, Stanford University Salman Ahmad, Stanford University Scott Klemmer, Stanford University",,,,,SS→title→OA
2011,IJCAI,Nested Rollout Policy Adaptation for Monte Carlo Tree Search,https://www.semanticscholar.org/paper/64004549770b2dad4478331c8555ec25e9589ad1,"Christopher D. Rosin, Parity Computing",,,,,SS→title→OA
2011,S&P,Phonotactic Reconstruction of Encrypted VoIP Conversations: Hookt on fon-iks,https://www.semanticscholar.org/paper/a5d6544de55fb0ea3c91904ff4d021804efd53bd,"Andrew M. White, University of North Carolina at Chapel Hill ; et al. Austin Matthews, University of North Carolina at Chapel Hill Kevin Snow, University of North Carolina at Chapel Hill Fabian Monrose, University of North Carolina at Chapel Hill",,,,,SS→title→OA
2010,MOBICOM,The κ Factor: Inferring Protocol Performance UsingInter-link Reception Correlation,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=The+κ+Factor:+Inferring+Protocol+Performance+UsingInter-link+Reception+Correlation&as_oq=&as_eq=&as_occt=any&as_sauthors=Srinivasan,"Kannan Srinivasan, Stanford University ; et al. Mayank Jain, Stanford University Jung Il Choi, Stanford University Tahir Azim, Stanford University Edward S. Kim, University of Southern California Philip Levis, Stanford University Bhaskar Krishnamachari, University of Southern California",,,,,GS→title→OA
2009,CHI,Musink: Composing Music through Augmented Drawing,https://www.semanticscholar.org/paper/91d8fde56547c34cb881db65d4cd896afbc76120,"Theophanis Tsandilas, University of Paris-Sud ; et al. Catherine Letondal, University of Paris-Sud Wendy Mackay, University of Paris-Sud",,,,,SS→title→OA
2009,SOSP,FAWN: A Fast Array of Wimpy Nodes,https://www.semanticscholar.org/paper/42c39871e3032bca82d40ebc3b0dd26edc5f7c53,"David G. Andersen, Carnegie Mellon University ; et al. Jason Franklin, Carnegie Mellon University Michael Kaminsky, Intel Amar Phanishayee, Carnegie Mellon University Lawrence Tan, Carnegie Mellon University Vijay Vasudevan, Carnegie Mellon University",,,,,SS→title→OA
2009,SOSP,RouteBricks: Exploiting Parallelism to Scale Software Routers,https://www.semanticscholar.org/paper/0a59166593f0a2fa260f16fd853299c9f0863fdf,"Mihai Dobrescu, École Polytechnique Fédérale de Lausanne ; et al. Norbert Egi, University of Lancaster Katerina Argyraki, École Polytechnique Fédérale de Lausanne Byung-Gon Chun, Intel Kevin Fall, Intel Gianluca Iannaccone, Intel Allan Knies, Intel Maziar Manesh, Intel Sylvia Ratnasamy, Intel",,,,,SS→title→OA
2008,SIGCOMM,ZigZag Decoding: Combating Hidden Terminals in Wireless Networks,https://www.semanticscholar.org/paper/5202acf193a3d4c7dd8629c22d64ab350b3309c1,"Shyamnath Gollakota & Dina Katabi, Massachusetts Institute of Technology",,,,,SS→title→OA
2005,FOCS,"The Unique Games Conjecture, Integrality Gap for Cut Problems and Embeddability of Negative Type Metrics into L1",http://doi.ieeecomputersociety.org/10.1109/SFCS.2005.74,"Subhash A. Khot, Georgia Institute of Technology Nisheeth K. Vishnoi, IBM",,,,,GS→title→OA
