author_id,display_name,works_count,cited_by_count,h_index,i10_index,first_pub_year_countsbyyear
https://openalex.org/A5021195349,Mark Billinghurst,879,32279,82,426,1989
https://openalex.org/A5111222692,Chris Dyer,370,34435,69,199,1970
https://openalex.org/A5082668404,John Stasko,340,18514,67,205,1987
https://openalex.org/A5019928111,Hal Daumé,335,17285,61,166,2001
https://openalex.org/A5001232416,John McCarthy,320,19531,58,154,1899
https://openalex.org/A5020160332,Gun Lee,284,7769,40,109,1995
https://openalex.org/A5083645031,Alan M. Wilson,282,13838,66,173,1924
https://openalex.org/A5032452724,Kentaro Toyama,237,15127,53,124,1963
https://openalex.org/A5061223874,J. Thompson,212,14702,31,59,1960
https://openalex.org/A5061205711,Florian Schaub,207,7848,48,110,1851
https://openalex.org/A5061173804,Darren Gergle,179,9698,44,84,1998
https://openalex.org/A5066173469,Anne Marie Piper,173,8190,50,117,1961
https://openalex.org/A5078308184,Madeline Balaam,169,7291,38,85,2009
https://openalex.org/A5010677076,Martin Müller,164,3116,26,56,1966
https://openalex.org/A5100745766,Zhicheng Liu,125,3671,30,50,2003
https://openalex.org/A5023623172,Barrett Ens,123,3776,31,51,2008
https://openalex.org/A5031349141,Foad Hamidi,121,1405,19,34,2005
https://openalex.org/A5014790341,Amanda Lazar,115,4583,37,66,1973
https://openalex.org/A5083949511,Mira Dontcheva,106,5350,39,63,2003
https://openalex.org/A5089644604,Thammathip Piumsomboon,99,3163,23,44,2011
https://openalex.org/A5039799789,Jonathan Brennan,90,2148,22,33,2002
https://openalex.org/A5064563429,Robert Anderson,89,1342,20,32,1962
https://openalex.org/A5054978902,John Hale,86,4539,25,42,1930
https://openalex.org/A5034891790,Isaac Johnson,78,1134,16,20,2004
https://openalex.org/A5012652561,Mark Díaz,73,4116,14,17,2003
https://openalex.org/A5072370411,Bernard J Kerr,68,1112,14,14,1800
https://openalex.org/A5057143988,Kellie Morrissey,62,1534,19,24,2011
https://openalex.org/A5034851596,Seok-Hyung Bae,59,972,15,23,1991
https://openalex.org/A5061115418,Clara Crivellaro,59,1196,18,29,2014
https://openalex.org/A5109995935,Brian Musgrove,52,1127,13,15,1986
https://openalex.org/A5026112124,Mikko Kytö,51,802,16,20,1997
https://openalex.org/A5084538652,Morgan Klaus Scheuerman,50,1834,19,23,2017
https://openalex.org/A5026521600,Chenjun Xiao,47,224,8,8,2012
https://openalex.org/A5045574489,Allison McDonald,42,692,13,16,2000
https://openalex.org/A5040699318,Alexandre Cremers,40,349,9,8,2011
https://openalex.org/A5069646529,Adhiguna Kuncoro,38,1600,18,19,2016
https://openalex.org/A5001484153,Sudha Rao,36,878,12,13,2011
https://openalex.org/A5029738364,Joon Hyub Lee,36,306,11,12,2012
https://openalex.org/A5014823249,Jincheng Mei,29,248,9,9,2014
https://openalex.org/A5040685721,Yongkwan Kim,24,397,10,10,2005
https://openalex.org/A5049518342,Sam Grigg,20,797,9,8,2017
https://openalex.org/A5086921313,Abraham Mhaidli,19,450,9,9,1970
https://openalex.org/A5025927395,Jayson Althofer,16,9,2,0,1999
https://openalex.org/A5035195609,Sean Peacock,16,121,5,5,2016
https://openalex.org/A5032939256,Timur Osadchiy,12,407,6,5,2017
https://openalex.org/A5009105907,Tamy Guberek,11,195,6,4,2009
https://openalex.org/A5032195981,Sang-Gyun An,8,139,6,6,2017
https://openalex.org/A5021296068,Lydia Michie,3,93,3,2,2017
