paper_openalex_id,paper_title,conference,award_year,author_id,author_name,author_position,first_pub_year,works_count,cited_by_count,h_index,i10_index,career_age_at_award,career_stage
https://openalex.org/W2788603415,Memory-Augmented Monte Carlo Tree Search,AAAI,2018,https://openalex.org/A5026521600,Chenjun Xiao,first,2012.0,47.0,224.0,8.0,8.0,6.0,Senior
https://openalex.org/W2788603415,Memory-Augmented Monte Carlo Tree Search,AAAI,2018,https://openalex.org/A5014823249,Jincheng Mei,middle,2014.0,29.0,248.0,9.0,9.0,4.0,Junior
https://openalex.org/W2788603415,Memory-Augmented Monte Carlo Tree Search,AAAI,2018,https://openalex.org/A5010677076,Martin Müller,last,1966.0,164.0,3116.0,26.0,56.0,52.0,Senior
https://openalex.org/W2798397965,Finding syntax in human encephalography with beam search,ACL,2018,https://openalex.org/A5054978902,John Hale,first,1930.0,86.0,4539.0,25.0,42.0,88.0,Senior
https://openalex.org/W2798397965,Finding syntax in human encephalography with beam search,ACL,2018,https://openalex.org/A5111222692,Chris Dyer,middle,1970.0,370.0,34435.0,69.0,199.0,48.0,Senior
https://openalex.org/W2798397965,Finding syntax in human encephalography with beam search,ACL,2018,https://openalex.org/A5069646529,Adhiguna Kuncoro,middle,2016.0,38.0,1600.0,18.0,19.0,2.0,Junior
https://openalex.org/W2798397965,Finding syntax in human encephalography with beam search,ACL,2018,https://openalex.org/A5039799789,Jonathan Brennan,last,2002.0,90.0,2148.0,22.0,33.0,16.0,Senior
https://openalex.org/W2963033005,Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information,ACL,2018,https://openalex.org/A5001484153,Sudha Rao,first,2011.0,36.0,878.0,12.0,13.0,7.0,Senior
https://openalex.org/W2963033005,Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information,ACL,2018,https://openalex.org/A5019928111,Hal Daumé,last,2001.0,335.0,17285.0,61.0,166.0,17.0,Senior
https://openalex.org/W2899300759,"Let's do it ""again"": A First Computational Approach to Detecting Adverbial Presupposition Triggers",ACL,2018,https://openalex.org/A5040699318,Alexandre Cremers,first,2011.0,40.0,349.0,9.0,8.0,7.0,Senior
https://openalex.org/W4255717503,Agile 3D Sketching with Air Scaffolding,CHI,2018,https://openalex.org/A5040685721,Yongkwan Kim,first,2005.0,24.0,397.0,10.0,10.0,13.0,Senior
https://openalex.org/W4255717503,Agile 3D Sketching with Air Scaffolding,CHI,2018,https://openalex.org/A5032195981,Sang-Gyun An,middle,2017.0,8.0,139.0,6.0,6.0,1.0,Junior
https://openalex.org/W4255717503,Agile 3D Sketching with Air Scaffolding,CHI,2018,https://openalex.org/A5029738364,Joon Hyub Lee,middle,2012.0,36.0,306.0,11.0,12.0,6.0,Senior
https://openalex.org/W4255717503,Agile 3D Sketching with Air Scaffolding,CHI,2018,https://openalex.org/A5034851596,Seok-Hyung Bae,last,1991.0,59.0,972.0,15.0,23.0,27.0,Senior
https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,CHI,2018,https://openalex.org/A5026112124,Mikko Kytö,first,1997.0,51.0,802.0,16.0,20.0,21.0,Senior
https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,CHI,2018,https://openalex.org/A5023623172,Barrett Ens,middle,2008.0,123.0,3776.0,31.0,51.0,10.0,Senior
https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,CHI,2018,https://openalex.org/A5089644604,Thammathip Piumsomboon,middle,2011.0,99.0,3163.0,23.0,44.0,7.0,Senior
https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,CHI,2018,https://openalex.org/A5020160332,Gun Lee,middle,1995.0,284.0,7769.0,40.0,109.0,23.0,Senior
https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,CHI,2018,https://openalex.org/A5021195349,Mark Billinghurst,last,1989.0,879.0,32279.0,82.0,426.0,29.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5100745766,Zhicheng Liu,first,2003.0,125.0,3671.0,30.0,50.0,15.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5061223874,J. Thompson,middle,1960.0,212.0,14702.0,31.0,59.0,58.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5083645031,Alan M. Wilson,middle,1924.0,282.0,13838.0,66.0,173.0,94.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5083949511,Mira Dontcheva,middle,2003.0,106.0,5350.0,39.0,63.0,15.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5078187042,James Delorey,middle,2002.0,3.0,160.0,1.0,1.0,16.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5049518342,Sam Grigg,middle,2017.0,20.0,797.0,9.0,8.0,1.0,Junior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5072370411,Bernard J Kerr,middle,1800.0,68.0,1112.0,14.0,14.0,218.0,Senior
https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,CHI,2018,https://openalex.org/A5082668404,John Stasko,last,1987.0,340.0,18514.0,67.0,205.0,31.0,Senior
https://openalex.org/W2889312863,"""A Stalker's Paradise"": How Intimate Partner Abusers Exploit Technology",CHI,2018,https://openalex.org/A5025927395,Jayson Althofer,first,1999.0,16.0,9.0,2.0,0.0,19.0,Senior
https://openalex.org/W2889312863,"""A Stalker's Paradise"": How Intimate Partner Abusers Exploit Technology",CHI,2018,https://openalex.org/A5109995935,Brian Musgrove,last,1986.0,52.0,1127.0,13.0,15.0,32.0,Senior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5009105907,Tamy Guberek,first,2009.0,11.0,195.0,6.0,4.0,9.0,Senior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5045574489,Allison McDonald,middle,2000.0,42.0,692.0,13.0,16.0,18.0,Senior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5075359884,Sylvia Simioni,middle,2018.0,2.0,153.0,2.0,2.0,0.0,Junior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5086921313,Abraham Mhaidli,middle,1970.0,19.0,450.0,9.0,9.0,48.0,Senior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5032452724,Kentaro Toyama,middle,1963.0,237.0,15127.0,53.0,124.0,55.0,Senior
https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",CHI,2018,https://openalex.org/A5061205711,Florian Schaub,last,1851.0,207.0,7848.0,48.0,110.0,167.0,Senior
https://openalex.org/W2796122895,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,CHI,2018,https://openalex.org/A5035195609,Sean Peacock,first,2016.0,16.0,121.0,5.0,5.0,2.0,Junior
https://openalex.org/W2796122895,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,CHI,2018,https://openalex.org/A5064563429,Robert H. Anderson,middle,1962.0,89.0,1342.0,20.0,32.0,56.0,Senior
https://openalex.org/W2796122895,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,CHI,2018,https://openalex.org/A5061115418,Clara Crivellaro,last,2014.0,59.0,1196.0,18.0,29.0,4.0,Junior
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5012652561,Mark Díaz,first,2003.0,73.0,4116.0,14.0,17.0,15.0,Senior
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5034891790,Isaac Johnson,middle,2004.0,78.0,1134.0,16.0,20.0,14.0,Senior
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5014790341,Amanda Lazar,middle,1973.0,115.0,4583.0,37.0,66.0,45.0,Senior
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5066173469,Anne Marie Piper,middle,1961.0,173.0,8190.0,50.0,117.0,57.0,Senior
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5061173804,Darren Gergle,last,1998.0,179.0,9698.0,44.0,84.0,20.0,Senior
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5021296068,Lydia Michie,first,2017.0,3.0,93.0,3.0,2.0,1.0,Junior
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5078308184,Madeline Balaam,middle,2009.0,169.0,7291.0,38.0,85.0,9.0,Senior
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5001232416,John McCarthy,middle,1899.0,320.0,19531.0,58.0,154.0,119.0,Senior
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5032939256,Timur Osadchiy,middle,2017.0,12.0,407.0,6.0,5.0,1.0,Junior
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5057143988,Kellie Morrissey,last,2011.0,62.0,1534.0,19.0,24.0,7.0,Senior
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5031349141,Foad Hamidi,first,2005.0,121.0,1405.0,19.0,34.0,13.0,Senior
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5084538652,Morgan Klaus Scheuerman,middle,2017.0,50.0,1834.0,19.0,23.0,1.0,Junior
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5026377321,Stacy Branham,last,2009.0,87.0,2750.0,25.0,42.0,9.0,Senior
https://openalex.org/W2795620203,How Relevant are Incidental Power Poses for HCI?,CHI,2018,https://openalex.org/A5074985413,Yvonne Jansen,first,2007.0,88.0,2905.0,25.0,35.0,11.0,Senior
https://openalex.org/W2795620203,How Relevant are Incidental Power Poses for HCI?,CHI,2018,https://openalex.org/A5015615908,Kasper Hornbæk,last,1999.0,313.0,12898.0,56.0,158.0,19.0,Senior
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5063697388,Martin Porcheron,first,2013.0,57.0,1583.0,17.0,24.0,5.0,Junior
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5091627990,Joel E. Fischer,middle,1953.0,212.0,3958.0,31.0,76.0,65.0,Senior
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5020860057,Stuart Reeves,middle,2001.0,163.0,4813.0,34.0,82.0,17.0,Senior
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5054151701,Sarah Sharples,last,1993.0,248.0,4601.0,29.0,82.0,25.0,Senior
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5070837664,Nicholas Vincent,first,1991.0,244.0,971.0,17.0,29.0,27.0,Senior
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5034891790,Isaac Johnson,middle,2004.0,78.0,1134.0,16.0,20.0,14.0,Senior
https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,CHI,2018,https://openalex.org/A5005448339,Brent Hecht,last,2005.0,129.0,6080.0,38.0,77.0,13.0,Senior
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5034634435,Ari Schlesinger,first,2017.0,6.0,659.0,5.0,5.0,1.0,Junior
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5064650373,Kenton O’Hara,middle,1991.0,174.0,9326.0,46.0,82.0,27.0,Senior
https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",CHI,2018,https://openalex.org/A5029562752,Alex Taylor,last,1960.0,204.0,5047.0,37.0,83.0,58.0,Senior
https://openalex.org/W2795783386,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,CHI,2018,https://openalex.org/A5023043627,Megh Marathe,first,2004.0,35.0,336.0,10.0,10.0,14.0,Senior
https://openalex.org/W2795783386,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,CHI,2018,https://openalex.org/A5032452724,Kentaro Toyama,last,1963.0,237.0,15127.0,53.0,124.0,55.0,Senior
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5100354637,Yang Zhang,first,2006.0,100.0,3172.0,29.0,55.0,12.0,Senior
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5071383028,Chouchang Yang,middle,2006.0,28.0,1188.0,10.0,10.0,12.0,Senior
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5039238746,Scott E. Hudson,middle,1977.0,317.0,15185.0,72.0,218.0,41.0,Senior
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5029290807,Chris Harrison,middle,1987.0,201.0,10902.0,57.0,125.0,31.0,Senior
https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,CHI,2018,https://openalex.org/A5047416400,Alanson P. Sample,last,2006.0,128.0,7127.0,36.0,69.0,12.0,Senior
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5028106242,Asheley R. Landrum,first,2011.0,112.0,1577.0,20.0,29.0,7.0,Senior
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5090363920,Joseph Hilgard,middle,2009.0,76.0,2595.0,25.0,31.0,9.0,Senior
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5078903072,Robert B. Lull,middle,2014.0,22.0,369.0,9.0,9.0,4.0,Junior
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5010424762,Heather Akin,middle,2004.0,43.0,815.0,17.0,22.0,14.0,Senior
https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,CHI,2018,https://openalex.org/A5060508167,Kathleen Hall Jamieson,last,1975.0,442.0,16638.0,60.0,141.0,43.0,Senior
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5014790341,Amanda Lazar,first,1973.0,115.0,4583.0,37.0,66.0,45.0,Senior
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5011438930,Jessica L. Feuston,middle,2014.0,21.0,680.0,12.0,15.0,4.0,Junior
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5091847639,Caroline Edasis,middle,2016.0,5.0,497.0,5.0,5.0,2.0,Junior
https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,CHI,2018,https://openalex.org/A5066173469,Anne Marie Piper,last,1961.0,173.0,8190.0,50.0,117.0,57.0,Senior
https://openalex.org/W2795442664,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,CHI,2018,https://openalex.org/A5075026385,Miro Mannino,first,2018.0,13.0,129.0,3.0,3.0,0.0,Junior
https://openalex.org/W2795442664,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,CHI,2018,https://openalex.org/A5044418740,Azza Abouzied,last,2008.0,67.0,718.0,15.0,19.0,10.0,Senior
https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,CHI,2018,https://openalex.org/A5066919494,Nicolas Villar,first,2003.0,90.0,2699.0,28.0,49.0,15.0,Senior
