author_id,treatment,rel_year,works,citations
https://openalex.org/A5000009841,1,-1,1,9
https://openalex.org/A5000009841,1,0,1,308
https://openalex.org/A5000009841,1,2,3,186
https://openalex.org/A5000009841,1,3,6,154
https://openalex.org/A5000009841,1,4,3,271
https://openalex.org/A5000009841,1,5,2,12
https://openalex.org/A5000102893,0,-5,1,73
https://openalex.org/A5000102893,0,-4,2,165
https://openalex.org/A5000102893,0,-3,2,91
https://openalex.org/A5000102893,0,-2,1,5
https://openalex.org/A5000102893,0,0,1,88
https://openalex.org/A5000102893,0,3,1,18
https://openalex.org/A5000107991,1,-3,4,427
https://openalex.org/A5000107991,1,-2,1,342
https://openalex.org/A5000107991,1,1,2,158
https://openalex.org/A5000107991,1,2,3,265
https://openalex.org/A5000107991,1,3,2,2
https://openalex.org/A5000107991,1,4,3,108
https://openalex.org/A5000163896,1,-4,2,84
https://openalex.org/A5000163896,1,-3,3,450
https://openalex.org/A5000163896,1,-2,2,217
https://openalex.org/A5000163896,1,-1,5,1052
https://openalex.org/A5000163896,1,0,13,580
https://openalex.org/A5000163896,1,1,4,114
https://openalex.org/A5000163896,1,2,15,785
https://openalex.org/A5000163896,1,3,9,455
https://openalex.org/A5000163896,1,4,9,413
https://openalex.org/A5000163896,1,5,13,232
https://openalex.org/A5000167011,0,-5,8,1442
https://openalex.org/A5000167011,0,-4,4,1223
https://openalex.org/A5000167011,0,-3,3,50
https://openalex.org/A5000167011,0,-2,8,226
https://openalex.org/A5000167011,0,-1,10,399
https://openalex.org/A5000167011,0,0,8,507
https://openalex.org/A5000167011,0,1,13,478
https://openalex.org/A5000167011,0,2,9,333
https://openalex.org/A5000167011,0,3,4,142
https://openalex.org/A5000167011,0,4,9,537
https://openalex.org/A5000167011,0,5,12,97
https://openalex.org/A5000170074,0,-5,2,7
https://openalex.org/A5000170074,0,-2,2,20
https://openalex.org/A5000170074,0,0,2,383
https://openalex.org/A5000170074,0,1,1,62
https://openalex.org/A5000170074,0,3,1,200
https://openalex.org/A5000245150,0,-5,2,256
https://openalex.org/A5000245150,0,-4,5,479
https://openalex.org/A5000245150,0,-3,8,469
https://openalex.org/A5000245150,0,-2,8,3034
https://openalex.org/A5000245150,0,-1,6,940
https://openalex.org/A5000245150,0,0,10,2762
https://openalex.org/A5000245150,0,1,13,465
https://openalex.org/A5000245150,0,2,13,501
https://openalex.org/A5000245150,0,3,22,3151
https://openalex.org/A5000245150,0,4,4,920
https://openalex.org/A5000245150,0,5,6,526
https://openalex.org/A5000246567,1,0,2,174
https://openalex.org/A5000294737,1,-3,3,611
https://openalex.org/A5000294737,1,-2,5,761
https://openalex.org/A5000294737,1,-1,3,264
https://openalex.org/A5000294737,1,0,6,2027
https://openalex.org/A5000294737,1,2,5,177
https://openalex.org/A5000294737,1,3,4,267
https://openalex.org/A5000294737,1,4,6,213
https://openalex.org/A5000294737,1,5,4,34
https://openalex.org/A5000308912,1,-4,2,6
https://openalex.org/A5000308912,1,-2,2,155
https://openalex.org/A5000308912,1,0,4,887
https://openalex.org/A5000308912,1,1,1,288
https://openalex.org/A5000308912,1,2,4,404
https://openalex.org/A5000308912,1,3,1,65
https://openalex.org/A5000308912,1,4,2,350
https://openalex.org/A5000308912,1,5,3,316
https://openalex.org/A5000416532,0,-5,2,104
https://openalex.org/A5000416532,0,-4,3,54
https://openalex.org/A5000416532,0,-3,13,372
https://openalex.org/A5000416532,0,-2,6,132
https://openalex.org/A5000416532,0,-1,4,147
https://openalex.org/A5000416532,0,0,4,202
https://openalex.org/A5000416532,0,1,7,249
https://openalex.org/A5000416532,0,2,7,185
https://openalex.org/A5000416532,0,3,6,257
https://openalex.org/A5000416532,0,4,6,320
https://openalex.org/A5000416532,0,5,5,358
https://openalex.org/A5000440212,1,-3,1,61
https://openalex.org/A5000440212,1,-2,5,212
https://openalex.org/A5000440212,1,-1,2,39
https://openalex.org/A5000440212,1,0,1,146
https://openalex.org/A5000440212,1,2,2,117
https://openalex.org/A5000440212,1,5,3,10
https://openalex.org/A5000529247,0,-2,2,3
https://openalex.org/A5000529247,0,-1,3,89
