conference,year,source_id,source_name,n_votes
AAAI,2000,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,3
AAAI,2002,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,1
AAAI,2004,,,0
AAAI,2005,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,1
AAAI,2006,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,2
AAAI,2007,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,2
AAAI,2008,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,2
AAAI,2010,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2
AAAI,2011,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2
AAAI,2012,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2
AAAI,2013,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,2
AAAI,2014,https://openalex.org/S4306462769,ACM eBooks,1
AAAI,2015,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,1
AAAI,2016,https://openalex.org/S7407053046,University of Alberta Library,1
AAAI,2017,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,1
AAAI,2018,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,1
ACL,2001,,,0
ACL,2002,,,0
ACL,2003,,,0
ACL,2004,,,0
ACL,2005,,,0
ACL,2006,,,0
ACL,2007,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,1
ACL,2008,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,2
ACL,2009,,,0
ACL,2010,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,1
ACL,2011,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,1
ACL,2012,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,1
ACL,2013,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,1
ACL,2014,,,0
ACL,2015,,,0
ACL,2016,,,0
ACL,2017,,,0
ACL,2018,https://openalex.org/S186219999,Natural Language Semantics,1
CHI,2005,,,0
CHI,2006,,,0
CHI,2007,https://openalex.org/S53579087,Ground Water,1
CHI,2008,https://openalex.org/S1535467,African Research Review,1
CHI,2009,https://openalex.org/S4377196327,Digital Commons - USU (Utah State University),1
CHI,2010,,,0
CHI,2011,,,0
CHI,2012,,,0
CHI,2013,,,0
CHI,2014,,,0
CHI,2015,,,0
CHI,2016,,,0
CHI,2017,,,0
CHI,2018,https://openalex.org/S2737936280,Palgrave Communications,1
CIKM,2004,,,0
CIKM,2005,,,0
CIKM,2006,,,0
CIKM,2007,,,0
CIKM,2008,,,0
CIKM,2009,,,0
CIKM,2010,,,0
CIKM,2011,,,0
CIKM,2012,,,0
CIKM,2013,,,0
CIKM,2014,,,0
CIKM,2015,,,0
CIKM,2016,,,0
CIKM,2017,,,0
CIKM,2018,,,0
CVPR,2000,,,0
CVPR,2001,,,0
CVPR,2003,,,0
CVPR,2004,,,0
CVPR,2005,https://openalex.org/S189275214,Particle and Fibre Toxicology,1
CVPR,2006,https://openalex.org/S25538012,International Journal of Computer Vision,1
CVPR,2007,https://openalex.org/S4210187442,Reviews in Mineralogy and Geochemistry,1
CVPR,2008,,,0
CVPR,2009,https://openalex.org/S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,1
CVPR,2010,,,0
CVPR,2011,https://openalex.org/S103482838,Communications of the ACM,1
CVPR,2012,https://openalex.org/S25538012,International Journal of Computer Vision,1
CVPR,2013,,,0
CVPR,2014,,,0
CVPR,2015,,,0
CVPR,2016,,,0
CVPR,2017,,,0
CVPR,2018,,,0
FOCS,2002,https://openalex.org/S4306402519,ThinkTech (Texas Tech University),1
FOCS,2003,https://openalex.org/S118992489,Journal of the ACM,1
FOCS,2004,https://openalex.org/S153560523,SIAM Journal on Computing,1
FOCS,2005,,,0
FOCS,2006,,,0
FOCS,2007,,,0
FOCS,2008,,,0
FOCS,2010,https://openalex.org/S118992489,Journal of the ACM,1
FOCS,2011,https://openalex.org/S118992489,Journal of the ACM,1
FOCS,2012,,,0
FOCS,2013,,,0
FOCS,2014,,,0
FOCS,2015,https://openalex.org/S118992489,Journal of the ACM,1
FOCS,2016,https://openalex.org/S118992489,Journal of the ACM,1
FOCS,2017,,,0
FOCS,2018,https://openalex.org/S118992489,Journal of the ACM,1
FSE,2002,,,0
FSE,2003,,,0
FSE,2004,,,0
FSE,2005,,,0
FSE,2006,,,0
FSE,2007,,,0
FSE,2008,,,0
FSE,2009,,,0
FSE,2010,,,0
FSE,2011,,,0
FSE,2012,,,0
FSE,2014,,,0
FSE,2015,,,0
FSE,2016,,,0
FSE,2017,,,0
FSE,2018,,,0
ICCV,2001,https://openalex.org/S25538012,International Journal of Computer Vision,1
ICCV,2003,https://openalex.org/S25538012,International Journal of Computer Vision,2
ICCV,2005,https://openalex.org/S25538012,International Journal of Computer Vision,1
ICCV,2007,https://openalex.org/S25538012,International Journal of Computer Vision,1
ICCV,2009,,,0
ICCV,2011,,,0
ICCV,2013,,,0
ICCV,2015,,,0
ICCV,2017,,,0
ICML,2005,,,0
ICML,2006,,,0
ICML,2007,,,0
ICML,2008,,,0
ICML,2009,,,0
ICML,2010,https://openalex.org/S4306400194,arXiv (Cornell University),1
ICML,2011,https://openalex.org/S4306400194,arXiv (Cornell University),1
ICML,2012,https://openalex.org/S4306400088,UvA-DARE (University of Amsterdam),1
ICML,2013,https://openalex.org/S4306400194,arXiv (Cornell University),1
ICML,2014,https://openalex.org/S4306419644,International Conference on Machine Learning,1
ICML,2015,https://openalex.org/S4306400194,arXiv (Cornell University),2
ICML,2016,https://openalex.org/S4306400194,arXiv (Cornell University),3
ICML,2017,https://openalex.org/S4306400194,arXiv (Cornell University),1
ICML,2018,https://openalex.org/S4306400194,arXiv (Cornell University),2
ICSE,2003,https://openalex.org/S4306419842,International Conference on Software Engineering,2
ICSE,2004,https://openalex.org/S142627899,ACM Transactions on Software Engineering and Methodology,3
ICSE,2005,https://openalex.org/S4363608887,"Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.",1
ICSE,2006,,,0
ICSE,2007,https://openalex.org/S4210203175,Proceedings/Proceedings - International Conference on Software Engineering,3
ICSE,2008,https://openalex.org/S4377196310,Purdue e-Pubs (Purdue University System),1
ICSE,2009,,,0
ICSE,2010,,,0
ICSE,2011,,,0
ICSE,2012,https://openalex.org/S142627899,ACM Transactions on Software Engineering and Methodology,1
ICSE,2013,https://openalex.org/S4363607951,2013 35th International Conference on Software Engineering (ICSE),3
ICSE,2014,,,0
ICSE,2015,https://openalex.org/S4363607868,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,3
ICSE,2016,,,0
ICSE,2017,,,0
ICSE,2018,https://openalex.org/S4306401590,Technischen Universität Darmstadt,1
ICWSM,2007,https://openalex.org/S4306419920,International Conference on Weblogs and Social Media,1
ICWSM,2008,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2009,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,2
ICWSM,2010,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,2
ICWSM,2011,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2012,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,2
ICWSM,2013,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2014,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2015,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2016,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2017,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
ICWSM,2018,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,1
IJCAI,2001,https://openalex.org/S12967704,Statistical Science,1
IJCAI,2003,https://openalex.org/S7407050879,UC Berkeley,2
IJCAI,2005,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,2
IJCAI,2007,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,2
IJCAI,2009,https://openalex.org/S4306402636,Oxford University Research Archive (ORA) (University of Oxford),1
IJCAI,2011,https://openalex.org/S139930977,Journal of Artificial Intelligence Research,2
IJCAI,2013,https://openalex.org/S4306400906,Research Repository (Delft University of Technology),1
IJCAI,2015,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,2
IJCAI,2016,https://openalex.org/S207023548,Neural Computation,1
IJCAI,2017,,,0
IJCAI,2018,,,0
INFOCOM,2000,,,0
INFOCOM,2001,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,1
INFOCOM,2002,,,0
INFOCOM,2003,,,0
INFOCOM,2004,,,0
INFOCOM,2005,,,0
INFOCOM,2006,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,1
INFOCOM,2007,,,0
INFOCOM,2008,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,1
INFOCOM,2009,,,0
INFOCOM,2010,,,0
INFOCOM,2011,,,0
INFOCOM,2012,,,0
INFOCOM,2013,,,0
INFOCOM,2014,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,1
INFOCOM,2015,,,0
INFOCOM,2016,,,0
INFOCOM,2017,,,0
INFOCOM,2018,,,0
JCDL,2000,,,0
JCDL,2002,,,0
JCDL,2003,https://openalex.org/S4306417562,ACM/IEEE Joint Conference on Digital Libraries,1
JCDL,2004,,,0
JCDL,2005,,,0
JCDL,2006,,,0
JCDL,2007,,,0
JCDL,2008,,,0
JCDL,2009,,,0
JCDL,2010,,,0
JCDL,2011,,,0
JCDL,2012,,,0
JCDL,2013,,,0
JCDL,2014,,,0
JCDL,2015,,,0
JCDL,2016,,,0
JCDL,2017,,,0
JCDL,2018,,,0
KDD,2000,,,0
KDD,2001,,,0
KDD,2002,,,0
KDD,2003,,,0
KDD,2004,,,0
KDD,2005,https://openalex.org/S19474917,Internet Mathematics,1
KDD,2006,,,0
KDD,2007,,,0
KDD,2008,,,0
KDD,2009,,,0
KDD,2010,https://openalex.org/S139930977,Journal of Artificial Intelligence Research,1
KDD,2011,,,0
KDD,2012,,,0
KDD,2013,,,0
KDD,2014,,,0
KDD,2015,,,0
KDD,2016,,,0
KDD,2017,,,0
KDD,2018,,,0
MOBICOM,2008,,,0
MOBICOM,2009,,,0
MOBICOM,2011,,,0
MOBICOM,2012,,,0
MOBICOM,2013,,,0
MOBICOM,2014,,,0
MOBICOM,2015,https://openalex.org/S4210227886,GetMobile Mobile Computing and Communications,1
MOBICOM,2017,,,0
MOBICOM,2018,https://openalex.org/S4210227886,GetMobile Mobile Computing and Communications,1
NeurIPS,2013,https://openalex.org/S4306400194,arXiv (Cornell University),3
NeurIPS,2014,https://openalex.org/S4306400194,arXiv (Cornell University),2
NeurIPS,2015,https://openalex.org/S4306420609,Neural Information Processing Systems,2
NeurIPS,2016,,,0
NeurIPS,2017,https://openalex.org/S4306400194,arXiv (Cornell University),3
NeurIPS,2018,https://openalex.org/S4306420609,Neural Information Processing Systems,3
OSDI,2000,,,0
OSDI,2002,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,1
OSDI,2004,https://openalex.org/S193109227,ACM Transactions on Computer Systems,2
OSDI,2006,https://openalex.org/S193109227,ACM Transactions on Computer Systems,2
OSDI,2008,https://openalex.org/S4306420647,Operating Systems Design and Implementation,3
OSDI,2010,https://openalex.org/S4306420647,Operating Systems Design and Implementation,2
OSDI,2012,,,0
OSDI,2014,https://openalex.org/S193109227,ACM Transactions on Computer Systems,3
OSDI,2016,https://openalex.org/S4306420647,Operating Systems Design and Implementation,1
OSDI,2018,https://openalex.org/S4306420647,Operating Systems Design and Implementation,3
PLDI,2000,,,0
PLDI,2003,https://openalex.org/S148324379,ACM SIGPLAN Notices,1
PLDI,2004,,,0
PLDI,2005,,,0
PLDI,2007,,,0
PLDI,2009,,,0
PLDI,2010,,,0
PLDI,2011,https://openalex.org/S148324379,ACM SIGPLAN Notices,1
PLDI,2012,,,0
PLDI,2013,https://openalex.org/S4306401796,Rare & Special e-Zone (The Hong Kong University of Science and Technology),1
PLDI,2014,,,0
PLDI,2015,,,0
PLDI,2016,,,0
PLDI,2017,,,0
PLDI,2018,,,0
PODS,2000,,,0
PODS,2001,,,0
PODS,2002,,,0
PODS,2003,,,0
PODS,2004,,,0
PODS,2005,,,0
PODS,2006,https://openalex.org/S118992489,Journal of the ACM,1
PODS,2007,https://openalex.org/S4306419648,International Conference on Management of Data,1
PODS,2008,,,0
PODS,2009,,,0
PODS,2010,,,0
PODS,2011,,,0
PODS,2012,https://openalex.org/S103870658,PLoS Genetics,1
PODS,2013,,,0
PODS,2014,https://openalex.org/S90119964,ACM Transactions on Database Systems,1
PODS,2015,,,0
PODS,2016,,,0
PODS,2017,,,0
PODS,2018,,,0
S&P,2008,https://openalex.org/S4210233669,Proceedings - IEEE Symposium on Security and Privacy/Proceedings of the ... IEEE Symposium on Security and Privacy,1
S&P,2009,https://openalex.org/S103482838,Communications of the ACM,1
S&P,2010,,,0
S&P,2013,https://openalex.org/S103482838,Communications of the ACM,1
S&P,2014,https://openalex.org/S103482838,Communications of the ACM,1
S&P,2015,https://openalex.org/S103482838,Communications of the ACM,1
S&P,2016,,,0
S&P,2017,,,0
S&P,2018,,,0
SIGCOMM,2009,,,0
SIGCOMM,2010,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,1
SIGCOMM,2011,,,0
SIGCOMM,2012,,,0
SIGCOMM,2013,,,0
SIGCOMM,2014,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,2
SIGCOMM,2015,,,0
SIGCOMM,2016,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,2
SIGCOMM,2017,,,0
SIGCOMM,2018,,,0
SIGIR,2000,https://openalex.org/S6756005,ACM SIGIR Forum,1
SIGIR,2001,,,0
SIGIR,2002,,,0
SIGIR,2003,,,0
SIGIR,2004,,,0
SIGIR,2005,,,0
SIGIR,2006,,,0
SIGIR,2007,,,0
SIGIR,2008,,,0
SIGIR,2009,,,0
SIGIR,2010,,,0
SIGIR,2011,,,0
SIGIR,2012,,,0
SIGIR,2013,,,0
SIGIR,2014,,,0
SIGIR,2015,,,0
SIGIR,2016,,,0
SIGIR,2017,https://openalex.org/S4306402636,Oxford University Research Archive (ORA) (University of Oxford),1
SIGIR,2018,,,0
SIGMETRICS,2004,https://openalex.org/S4210187660,ACM SIGMETRICS Performance Evaluation Review,1
SIGMETRICS,2005,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,1
SIGMETRICS,2006,,,0
SIGMETRICS,2007,,,0
SIGMETRICS,2008,,,0
SIGMETRICS,2009,https://openalex.org/S4306462833,Amsterdam University Press eBooks,1
SIGMETRICS,2010,,,0
SIGMETRICS,2011,,,0
SIGMETRICS,2012,,,0
SIGMETRICS,2013,,,0
SIGMETRICS,2014,,,0
SIGMETRICS,2015,https://openalex.org/S4210187660,ACM SIGMETRICS Performance Evaluation Review,1
SIGMETRICS,2016,,,0
SIGMETRICS,2017,,,0
