conference,year,source_id,source_name,source_type,tier_used,n_votes,match_score,needs_manual_review
AAAI,2000,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,3,,False
AAAI,2002,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,1,,False
AAAI,2004,https://openalex.org/S4210169993,Civil War Book Review,journal,1.0,1,,False
AAAI,2005,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,1,,False
AAAI,2006,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2007,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2008,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2010,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2011,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2012,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2013,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,2,,False
AAAI,2014,https://openalex.org/S4306462769,ACM eBooks,ebook platform,1.0,1,,False
AAAI,2015,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,1,,False
AAAI,2016,https://openalex.org/S7407053046,University of Alberta Library,repository,1.0,1,,False
AAAI,2017,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,1,,False
AAAI,2018,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1.0,1,,False
ACL,2001,https://openalex.org/S4406923043,Defense Technical Information Center (DTIC),repository,1.0,1,,False
ACL,2002,https://openalex.org/S4306401362,RWTH Publications (RWTH Aachen),repository,1.0,1,,False
ACL,2003,,,,,0,,True
ACL,2004,https://openalex.org/S4377196282,Figshare,repository,1.0,1,,False
ACL,2005,,,,,0,,True
ACL,2006,,,,,0,,True
ACL,2007,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,1,,False
ACL,2008,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,2,,False
ACL,2009,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,1.0,1,,False
ACL,2010,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,1,,False
ACL,2011,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,1,,False
ACL,2012,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,1,,False
ACL,2013,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1.0,1,,False
ACL,2014,,,,,0,,True
ACL,2015,,,,,0,,True
ACL,2016,,,,,0,,True
ACL,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1.0,1,,False
ACL,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1.0,2,,False
CHI,2005,https://openalex.org/S4306400188,Durham Research Online (Durham University),repository,1.0,1,,False
