conference,year,title,contents_url
aaai,2000,"Proceedings of the Seventeenth National Conference on Artificial Intelligence and Twelfth Conference on on Innovative Applications of Artificial Intelligence, July 30 - August 3, 2000, Austin, Texas, USA.",https://dblp.org/db/conf/aaai/aaai2000.html
aaai,2002,"Proceedings of the Eighteenth National Conference on Artificial Intelligence and Fourteenth Conference on Innovative Applications of Artificial Intelligence, July 28 - August 1, 2002, Edmonton, Alberta, Canada.",https://dblp.org/db/conf/aaai/aaai2002.html
aaai,2004,"Proceedings of the Nineteenth National Conference on Artificial Intelligence, Sixteenth Conference on Innovative Applications of Artificial Intelligence, July 25-29, 2004, San Jose, California, USA.",https://dblp.org/db/conf/aaai/aaai2004.html
aaai,2005,"Proceedings, The Twentieth National Conference on Artificial Intelligence and the Seventeenth Innovative Applications of Artificial Intelligence Conference, July 9-13, 2005, Pittsburgh, Pennsylvania, USA.",https://dblp.org/db/conf/aaai/aaai2005.html
aaai,2006,"Proceedings, The Twenty-First National Conference on Artificial Intelligence and the Eighteenth Innovative Applications of Artificial Intelligence Conference, July 16-20, 2006, Boston, Massachusetts, USA.",https://dblp.org/db/conf/aaai/aaai2006.html
aaai,2007,"Proceedings of the Twenty-Second AAAI Conference on Artificial Intelligence, July 22-26, 2007, Vancouver, British Columbia, Canada.",https://dblp.org/db/conf/aaai/aaai2007.html
aaai,2008,"Proceedings of the Twenty-Third AAAI Conference on Artificial Intelligence, AAAI 2008, Chicago, Illinois, USA, July 13-17, 2008.",https://dblp.org/db/conf/aaai/aaai2008.html
aaai,2010,"Proceedings of the Twenty-Fourth AAAI Conference on Artificial Intelligence, AAAI 2010, Atlanta, Georgia, USA, July 11-15, 2010.",https://dblp.org/db/conf/aaai/aaai2010.html
aaai,2011,"Proceedings of the Twenty-Fifth AAAI Conference on Artificial Intelligence, AAAI 2011, San Francisco, California, USA, August 7-11, 2011.",https://dblp.org/db/conf/aaai/aaai2011.html
aaai,2012,"Proceedings of the Twenty-Sixth AAAI Conference on Artificial Intelligence, July 22-26, 2012, Toronto, Ontario, Canada.",https://dblp.org/db/conf/aaai/aaai2012.html
aaai,2013,"Proceedings of the Twenty-Seventh AAAI Conference on Artificial Intelligence, July 14-18, 2013, Bellevue, Washington, USA.",https://dblp.org/db/conf/aaai/aaai2013.html
aaai,2014,"Proceedings of the Twenty-Eighth AAAI Conference on Artificial Intelligence, July 27 -31, 2014, Québec City, Québec, Canada.",https://dblp.org/db/conf/aaai/aaai2014.html
aaai,2015,"Proceedings of the Twenty-Ninth AAAI Conference on Artificial Intelligence, January 25-30, 2015, Austin, Texas, USA.",https://dblp.org/db/conf/aaai/aaai2015.html
aaai,2016,"Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, February 12-17, 2016, Phoenix, Arizona, USA.",https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2017,"Proceedings of the Thirty-First AAAI Conference on Artificial Intelligence, February 4-9, 2017, San Francisco, California, USA.",https://dblp.org/db/conf/aaai/aaai2017.html
aaai,2018,"Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, (AAAI-18), the 30th innovative Applications of Artificial Intelligence (IAAI-18), and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence (EAAI-18), New Orleans, Louisiana, USA, February 2-7, 2018.",https://dblp.org/db/conf/aaai/aaai2018.html
acl,2000,"38th Annual Meeting of the Association for Computational Linguistics, Hong Kong, China, October 1-8, 2000.",https://dblp.org/db/conf/acl/acl2000.html
acl,2001,"Association for Computational Linguistic, 39th Annual Meeting and 10th Conference of the European Chapter, Proceedings of the Conference, July 9-11, 2001, Toulouse, France.",https://dblp.org/db/conf/acl/acl2001.html
acl,2002,"Proceedings of the 40th Annual Meeting of the Association for Computational Linguistics, July 6-12, 2002, Philadelphia, PA, USA.",https://dblp.org/db/conf/acl/acl2002.html
acl,2003,"Proceedings of the 41st Annual Meeting of the Association for Computational Linguistics, 7-12 July 2003, Sapporo Convention Center, Sapporo, Japan.",https://dblp.org/db/conf/acl/acl2003.html
acl,2004,"Proceedings of the 42nd Annual Meeting of the Association for Computational Linguistics, 21-26 July, 2004, Barcelona, Spain.",https://dblp.org/db/conf/acl/acl2004.html
acl,2005,"ACL 2005, 43rd Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference, 25-30 June 2005, University of Michigan, USA.",https://dblp.org/db/conf/acl/acl2005.html
