conference,year,title,authors,pages,dblp_row_id,match_score,title_score,year_score,author_overlap,match_status,candidate_rank,openalex_id,openalex_doi,openalex_title,openalex_publication_date,openalex_publication_year,openalex_cited_by_count,openalex_primary_source,openalex_type,openalex_authorships,error
AAAI,2000,Inter-Layer Learning Towards Emergent Cooperative Behavior.,Shawn Arseneau; Wei Sun; Changpeng Zhao; Jeremy R. Cooperstock,3-8,DBLP_0000001,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W102912931,,Inter-Layer Learning Towards Emergent Cooperative Behavior,2000-07-30,2000.0,1.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5075965386"", ""display_name"": ""S. Arseneau"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""S. Arseneau"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5059618326"", ""display_name"": ""Wei Sun"", ""orcid"": ""https://orcid.org/0000-0002-6705-1326""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Wei Sun"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-6705-1326"", ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5042038863"", ""display_name"": ""Changpeng Zhao"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Changpeng Zhao"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5043219394"", ""display_name"": ""Jeremy R. Cooperstock"", ""orcid"": ""https://orcid.org/0000-0002-3392-2541""}, ""institutions"": [{""id"": ""https://openalex.org/I5023651"", ""display_name"": ""McGill University"", ""ror"": ""https://ror.org/01pxwe438"", ""country_code"": ""CA"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I5023651""]}], ""countries"": [""CA""], ""is_corresponding"": false, ""raw_author_name"": ""Jeremy R. Cooperstock"", ""raw_affiliation_strings"": [""McGill University""], ""raw_orcid"": ""https://orcid.org/0000-0002-3392-2541"", ""affiliations"": [{""raw_affiliation_string"": ""McGill University"", ""institution_ids"": [""https://openalex.org/I5023651""]}]}]",
AAAI,2000,Coordination Failure and Congestion in Information Networks.,Ann M. Bell; William A. Sethares; James A. Bucklew,9-14,DBLP_0000002,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W2095614480,,Coordination Failure and Congestion in Information Networks,2000-07-30,2000.0,1.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5054918365"", ""display_name"": ""Ann Maria Bell"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Ann Maria Bell"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5022780948"", ""display_name"": ""William A. Sethares"", ""orcid"": ""https://orcid.org/0000-0002-0318-7638""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""William A. Sethares"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-0318-7638"", ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5077055017"", ""display_name"": ""J.A. Bucklew"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""J.A. Bucklew"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}]",
AAAI,2000,Non-Deterministic Social Laws.,Michael H. Coen,15-21,DBLP_0000003,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W1568976369,,Non-Deterministic Social Laws,2000-07-30,2000.0,5.0,National Conference on Artificial Intelligence,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5111797113"", ""display_name"": ""Michael H. Coen"", ""orcid"": null}, ""institutions"": [{""id"": ""https://openalex.org/I63966007"", ""display_name"": ""Massachusetts Institute of Technology"", ""ror"": ""https://ror.org/042nb2s44"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I63966007""]}], ""countries"": [""US""], ""is_corresponding"": true, ""raw_author_name"": ""Michael H. Coen"", ""raw_affiliation_strings"": [""Massachusetts Institute of Technology""], ""affiliations"": [{""raw_affiliation_string"": ""Massachusetts Institute of Technology"", ""institution_ids"": [""https://openalex.org/I63966007""]}]}]",
AAAI,2000,Solving Combinatorial Auctions Using Stochastic Local Search.,Holger H. Hoos; Craig Boutilier,22-29,DBLP_0000004,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W2137004940,,Solving Combinatorial Auctions Using Stochastic Local Search,2000-07-30,2000.0,233.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5025342513"", ""display_name"": ""Holger H. Hoos"", ""orcid"": ""https://orcid.org/0000-0003-0629-0099""}, ""institutions"": [{""id"": ""https://openalex.org/I141945490"", ""display_name"": ""University of British Columbia"", ""ror"": ""https://ror.org/03rmrcq20"", ""country_code"": ""CA"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I141945490""]}], ""countries"": [""CA""], ""is_corresponding"": false, ""raw_author_name"": ""Holger H. Hoos"", ""raw_affiliation_strings"": [""University of British Columbia""], ""raw_orcid"": ""https://orcid.org/0000-0003-0629-0099"", ""affiliations"": [{""raw_affiliation_string"": ""University of British Columbia"", ""institution_ids"": [""https://openalex.org/I141945490""]}]}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5036934218"", ""display_name"": ""Craig Boutilier"", ""orcid"": ""https://orcid.org/0000-0001-9330-4545""}, ""institutions"": [{""id"": ""https://openalex.org/I185261750"", ""display_name"": ""University of Toronto"", ""ror"": ""https://ror.org/03dbr7087"", ""country_code"": ""CA"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I185261750""]}], ""countries"": [""CA""], ""is_corresponding"": false, ""raw_author_name"": ""Craig Boutilier"", ""raw_affiliation_strings"": [""University of Toronto""], ""raw_orcid"": ""https://orcid.org/0000-0001-9330-4545"", ""affiliations"": [{""raw_affiliation_string"": ""University of Toronto"", ""institution_ids"": [""https://openalex.org/I185261750""]}]}]",
AAAI,2000,A Mechanism for Group Decision Making in Collaborative Activity.,Luke Hunsberger; Massimo Zancanaro,30-35,DBLP_0000005,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W2109063882,,A Mechanism for Group Decision Making in Collaborative Activity,2000-07-30,2000.0,7.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5043048175"", ""display_name"": ""Luke Hunsberger"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Luke Hunsberger"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5007138994"", ""display_name"": ""Massimo Zancanaro"", ""orcid"": ""https://orcid.org/0000-0002-1554-5703""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Massimo Zancanaro"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-1554-5703"", ""affiliations"": []}]",
AAAI,2000,Cobot in LambdaMOO: A Social Statistics Agent.,Charles Lee Isbell Jr.; Michael J. Kearns; David P. Kormann; Satinder Singh; Peter Stone,36-41,DBLP_0000006,0.984,1.0,1.0,0.8,matched,1.0,https://openalex.org/W2120804913,,Cobot in LambdaMOO: A Social Statistics Agent,2000-07-30,2000.0,67.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5091212723"", ""display_name"": ""Charles L. Isbell"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Charles L. Isbell"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5029730907"", ""display_name"": ""Michael Kearns"", ""orcid"": ""https://orcid.org/0000-0001-7569-0147""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Michael Kearns"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0001-7569-0147"", ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5027566268"", ""display_name"": ""Dave Kormann"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Dave Kormann"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5065366930"", ""display_name"": ""Satinder Singh"", ""orcid"": ""https://orcid.org/0000-0002-2736-7641""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Satinder Singh"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-2736-7641"", ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5001594330"", ""display_name"": ""Peter Stone"", ""orcid"": ""https://orcid.org/0000-0002-6795-420X""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Peter Stone"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}]",
AAAI,2000,Semantics of Agent Communication Languages for Group Interaction.,Sanjeev Kumar; Marcus J. Huber; David McGee; Philip R. Cohen; Hector J. Levesque,42-47,DBLP_0000007,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W1514245840,,Semantics of Agent Communication Languages for Group Interaction,2000-07-30,2000.0,55.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5101640886"", ""display_name"": ""Sanjeev Kumar"", ""orcid"": ""https://orcid.org/0000-0003-0941-3509""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Sanjeev Kumar"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0003-0941-3509"", ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5039784483"", ""display_name"": ""Marcus J. Huber"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Marcus J. Huber"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5060931330"", ""display_name"": ""David R. McGee"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""David R. McGee"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5075508013"", ""display_name"": ""Philip R. Cohen"", ""orcid"": ""https://orcid.org/0000-0003-1303-064X""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Philip R. Cohen"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5025681351"", ""display_name"": ""Hector J. Levesque"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Hector J. Levesque"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}]",
AAAI,2000,Deliberation in Equilibrium: Bargaining in Computationally Complex Problems.,Kate Larson; Tuomas Sandholm,48-55,DBLP_0000008,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W1600205100,,Deliberation in Equilibrium: Bargaining in Computationally Complex Problems,2000-07-30,2000.0,11.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5105978897"", ""display_name"": ""Kate Larson"", ""orcid"": ""https://orcid.org/0000-0002-5455-9657""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Kate Larson"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-5455-9657"", ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5023571961"", ""display_name"": ""Tüomas Sandholm"", ""orcid"": ""https://orcid.org/0000-0001-8861-9366""}, ""institutions"": [{""id"": ""https://openalex.org/I204465549"", ""display_name"": ""Washington University in St. Louis"", ""ror"": ""https://ror.org/01yc7t268"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I204465549""]}], ""countries"": [""US""], ""is_corresponding"": false, ""raw_author_name"": ""Tüomas Sandholm"", ""raw_affiliation_strings"": [""(, Washington University in St. Louis)""], ""raw_orcid"": ""https://orcid.org/0000-0001-8861-9366"", ""affiliations"": [{""raw_affiliation_string"": ""(, Washington University in St. Louis)"", ""institution_ids"": [""https://openalex.org/I204465549""]}]}]",
AAAI,2000,An Algorithm for Multi-Unit Combinatorial Auctions.,Kevin Leyton-Brown; Yoav Shoham; Moshe Tennenholtz,56-61,DBLP_0000009,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W1662047737,,An Algorithm for Multi-Unit Combinatorial Auctions,2000-07-30,2000.0,138.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5089807699"", ""display_name"": ""Kevin Leyton‐Brown"", ""orcid"": ""https://orcid.org/0000-0002-7644-5327""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Kevin Leyton‐Brown"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-7644-5327"", ""affiliations"": []}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5028913764"", ""display_name"": ""Yoav Shoham"", ""orcid"": null}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Yoav Shoham"", ""raw_affiliation_strings"": [], ""raw_orcid"": null, ""affiliations"": []}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5003520806"", ""display_name"": ""Moshe Tennenholtz"", ""orcid"": ""https://orcid.org/0000-0002-9459-5388""}, ""institutions"": [], ""countries"": [], ""is_corresponding"": false, ""raw_author_name"": ""Moshe Tennenholtz"", ""raw_affiliation_strings"": [], ""raw_orcid"": ""https://orcid.org/0000-0002-9459-5388"", ""affiliations"": []}]",
AAAI,2000,Maintainability: A Weaker Stabilizability Like Notion for High Level Control.,Mutsumi Nakamura; Chitta Baral; Marcus Bjäreland,62-67,DBLP_0000010,1.0,1.0,1.0,1.0,matched,1.0,https://openalex.org/W2134362873,,Maintainability: A Weaker Stabilizability Like Notion for High Level Control,2000-07-30,2000.0,5.0,,article,"[{""author_position"": ""first"", ""author"": {""id"": ""https://openalex.org/A5005048088"", ""display_name"": ""Mutsumi Nakamura"", ""orcid"": null}, ""institutions"": [{""id"": ""https://openalex.org/I189196454"", ""display_name"": ""The University of Texas at Arlington"", ""ror"": ""https://ror.org/019kgqr73"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I189196454""]}], ""countries"": [""US""], ""is_corresponding"": false, ""raw_author_name"": ""Mutsumi Nakamura"", ""raw_affiliation_strings"": [""University of Texas at Arlington""], ""raw_orcid"": null, ""affiliations"": [{""raw_affiliation_string"": ""University of Texas at Arlington"", ""institution_ids"": [""https://openalex.org/I189196454""]}]}, {""author_position"": ""middle"", ""author"": {""id"": ""https://openalex.org/A5083735830"", ""display_name"": ""Chitta Baral"", ""orcid"": ""https://orcid.org/0000-0002-7549-723X""}, ""institutions"": [{""id"": ""https://openalex.org/I55732556"", ""display_name"": ""Arizona State University"", ""ror"": ""https://ror.org/03efmqc40"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I55732556""]}], ""countries"": [""US""], ""is_corresponding"": false, ""raw_author_name"": ""Chitta Baral"", ""raw_affiliation_strings"": [""Arizona State University""], ""raw_orcid"": null, ""affiliations"": [{""raw_affiliation_string"": ""Arizona State University"", ""institution_ids"": [""https://openalex.org/I55732556""]}]}, {""author_position"": ""last"", ""author"": {""id"": ""https://openalex.org/A5075930673"", ""display_name"": ""Marcus Bjäreland"", ""orcid"": null}, ""institutions"": [{""id"": ""https://openalex.org/I102134673"", ""display_name"": ""Linköping University"", ""ror"": ""https://ror.org/05ynxx418"", ""country_code"": ""SE"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I102134673""]}], ""countries"": [""SE""], ""is_corresponding"": false, ""raw_author_name"": ""Marcus Bjäreland"", ""raw_affiliation_strings"": [""Linköping University,#TAB#""], ""raw_orcid"": null, ""affiliations"": [{""raw_affiliation_string"": ""Linköping University,#TAB#"", ""institution_ids"": [""https://openalex.org/I102134673""]}]}]",
