conference,year,source_id,source_name,source_type,n_award_papers,n_resolved,n_votes_for_winner,vote_agreement,status
AAAI,2000,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,4,4,3,0.75,RESOLVED
AAAI,2002,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1,1,1,1.0,RESOLVED
AAAI,2004,https://openalex.org/S4210169993,Civil War Book Review,journal,1,1,1,1.0,RESOLVED
AAAI,2005,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,1,1,1,1.0,RESOLVED
AAAI,2006,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,2,2,1,0.5,RESOLVED
AAAI,2007,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,2,2,2,1.0,RESOLVED
AAAI,2008,https://openalex.org/S4306420577,National Conference on Artificial Intelligence,conference,2,2,1,0.5,RESOLVED
AAAI,2010,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,2,1,0.5,RESOLVED
AAAI,2011,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,2,2,1.0,RESOLVED
AAAI,2012,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,2,2,1.0,RESOLVED
AAAI,2013,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,2,2,1.0,RESOLVED
AAAI,2014,https://openalex.org/S4306462769,ACM eBooks,ebook platform,1,1,1,1.0,RESOLVED
AAAI,2015,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1,1,1,1.0,RESOLVED
AAAI,2016,https://openalex.org/S7407053046,University of Alberta Library,repository,1,1,1,1.0,RESOLVED
AAAI,2017,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1,1,1,1.0,RESOLVED
AAAI,2018,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,conference,1,1,1,1.0,RESOLVED
ACL,2001,https://openalex.org/S4406923043,Defense Technical Information Center (DTIC),repository,2,1,1,1.0,RESOLVED
ACL,2002,https://openalex.org/S4306401362,RWTH Publications (RWTH Aachen),repository,1,1,1,1.0,RESOLVED
ACL,2003,,,,2,0,0,,UNRESOLVED
ACL,2004,https://openalex.org/S4377196282,Figshare,repository,1,1,1,1.0,RESOLVED
ACL,2005,,,,1,0,0,,UNRESOLVED
ACL,2006,,,,1,0,0,,UNRESOLVED
ACL,2007,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1,1,1,1.0,RESOLVED
ACL,2008,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,2,2,2,1.0,RESOLVED
ACL,2009,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,3,1,1,1.0,RESOLVED
ACL,2010,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1,1,1,1.0,RESOLVED
ACL,2011,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1,1,1,1.0,RESOLVED
ACL,2012,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1,1,1,1.0,RESOLVED
ACL,2013,https://openalex.org/S4306420508,Meeting of the Association for Computational Linguistics,conference,1,1,1,1.0,RESOLVED
ACL,2014,,,,1,0,0,,UNRESOLVED
ACL,2015,,,,2,0,0,,UNRESOLVED
ACL,2016,,,,1,0,0,,UNRESOLVED
ACL,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
ACL,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,2,1,0.5,RESOLVED
CHI,2005,https://openalex.org/S4306400188,Durham Research Online (Durham University),repository,4,1,1,1.0,RESOLVED
CHI,2006,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,3,1,1,1.0,RESOLVED
CHI,2007,https://openalex.org/S53579087,Ground Water,journal,6,2,1,0.5,RESOLVED
CHI,2008,https://openalex.org/S1535467,African Research Review,journal,7,2,1,0.5,RESOLVED
