paper_id,paper_year,cd5,ni,nj
W2965050397,2019,-0.8823529411764706,1,16
W2407964224,2014,-0.6363636363636364,4,18
W3168901912,2021,1.0,4,0
W2970634945,2019,-0.16666666666666666,5,7
W3098410977,2020,1.0,13,0
W2759170062,2017,-0.3333333333333333,5,10
W2462672764,2016,-0.7777777777777778,1,8
W3034426742,2020,1.0,50,0
W2788603415,2018,-0.4444444444444444,5,13
W1487822924,2015,1.0,1,0
W3160101512,2021,-1.0,0,7
W3146267786,2021,-1.0,0,2
W3024652448,2020,-0.7777777777777778,3,24
W2996283994,2020,-1.0,0,2
W2963118426,2014,-1.0,0,1
W2798727047,2018,-0.92,2,48
W2554915555,2017,-0.96,1,49
W3153266325,2021,-0.52,12,38
W2932637973,2019,-0.88,3,47
W2289899728,2016,-0.64,9,41
W3024404575,2020,-0.64,9,41
W2786167576,2018,0.25,30,18
W4385567227,2022,-0.1875,13,19
W4310854123,2022,-0.3333333333333333,9,18
W2526170246,2016,1.0,18,0
W2798397965,2018,-0.8888888888888888,1,17
W2949629417,2019,-0.8,2,18
W2889088930,2017,-0.6666666666666666,1,5
W3031177401,2020,-1.0,0,5
W2970713124,2019,-1.0,0,5
W4385570061,2023,1.0,1,0
W4385570118,2023,-1.0,0,1
W4287332702,2021,1.0,50,0
W4388716388,2023,1.0,7,0
W2950191064,2016,-0.8,1,9
W3209540659,2021,0.043478260869565216,12,11
W3126553126,2021,-0.7142857142857143,4,24
W2801021082,2017,-0.5714285714285714,3,11
W2577255746,2017,-0.64,9,41
W4226146865,2021,1.0,50,0
W2952203969,2019,-0.2,2,3
W4221166194,2022,1.0,4,0
W2345157264,2016,-1.0,0,2
W4290741646,2021,1.0,4,0
W2952349142,2019,-1.0,0,3
W3209547093,2021,-1.0,0,1
W4297795891,2021,1.0,1,0
W4255717503,2018,-0.8666666666666667,2,28
W2759657490,2017,-0.3333333333333333,4,8
W4234006191,2018,-0.17647058823529413,7,10
W2796382388,2018,-0.6470588235294118,3,14
W2765904353,2017,-0.3333333333333333,1,2
W2795714070,2018,-1.0,0,9
W3091331558,2020,0.25,10,6
W4300416100,2017,,0,0
W2796063124,2018,-0.16,21,29
W2940975637,2019,0.4482758620689655,21,8
W2796122895,2018,-0.1724137931034483,12,17
W4297984000,2022,-0.5652173913043478,5,18
W3137614387,2021,-0.6923076923076923,2,11
W4283391789,2022,-0.16666666666666666,5,7
W4309618431,2022,-0.2727272727272727,4,7
W3199344366,2021,1.0,3,0
W2963046431,2019,-1.0,0,4
W4310118366,2022,1.0,1,0
W2580175021,2016,1.0,3,0
W4291656979,2022,-1.0,0,2
W3107685711,2020,1.0,1,0
W2347085857,2016,-0.12,22,28
W2141212887,2014,-0.3877551020408163,15,34
W3030654960,2020,-0.04,24,26
W2944033411,2019,-0.3939393939393939,10,23
W2986625059,2019,-0.6666666666666666,5,25
W2796359634,2018,0.4146341463414634,29,12
W3031885338,2020,-0.6875,5,27
W3157061151,2021,-0.8260869565217391,2,21
W4383683112,2023,-0.4117647058823529,5,12
W2394957087,2016,-0.44,14,36
W2029624068,2015,-0.7777777777777778,4,32
W2610599553,2017,-0.2571428571428571,13,22
W2796249492,2018,-0.7073170731707317,6,35
W2345910351,2016,-0.030303030303030304,16,17
W2795849376,2018,-0.6363636363636364,6,27
W2941380206,2019,-0.6666666666666666,3,15
W4383652543,2023,-0.2727272727272727,4,7
W3130997394,2021,-1.0,0,14
W4366547368,2023,-0.6,2,8
W2039924064,2015,-0.3333333333333333,4,8
W2097890196,2014,-0.3333333333333333,4,8
W2057398686,2015,-0.3333333333333333,2,4
W3173830558,2021,-0.1111111111111111,4,5
W2563059792,2016,-0.5,1,3
W4224979100,2022,-0.3333333333333333,2,4
W3162099679,2021,-0.5,1,3
W2129725375,2014,0.0,5,5
W2625439892,2017,-0.45454545454545453,3,8
W2288434511,2016,0.5555555555555556,7,2
W2940884656,2019,-0.5,2,6
W2916179104,2019,0.25,5,3
W4285017816,2022,-0.6,1,4
W1965029319,2015,-1.0,0,3
W2795679468,2018,-0.1111111111111111,4,5
W2795736453,2018,-0.38095238095238093,13,29
W2795908329,2018,0.24,31,19
W3029264758,2020,-0.48,13,37
W2989168403,2019,-0.4,15,35
W2898852014,2018,-0.52,12,38
W3162205072,2021,-0.64,9,41
W3134822068,2021,0.0,25,25
W3191136298,2021,-0.12,22,28
W4205667414,2021,-0.28,18,32
W3196190653,2021,0.24,31,19
W3162683674,2021,-0.5121951219512195,10,31
W4382469269,2023,-0.25,9,15
W2766927845,2017,-0.8333333333333334,3,33
W4225114761,2022,0.1,11,9
W3118703828,2021,-0.8285714285714286,3,32
W4309618088,2022,-0.4,6,14
W2610598874,2017,0.0,7,7
W3163358739,2021,-0.625,3,13
W4365999247,2023,-0.38461538461538464,4,9
W3031556870,2020,-0.8260869565217391,2,21
W4308426523,2022,-1.0,0,1
W4368754749,2023,1.0,3,0
W3043315258,2020,-0.44,14,36
W3130767973,2020,1.0,48,0
W2898745467,2018,-0.75,2,14
W2795389852,2018,-0.2,20,30
W2611092176,2017,-0.7857142857142857,3,25
W4225566891,2022,-0.2,4,6
W2780954509,2017,,0,0
W2610364475,2017,-0.48,13,37
W2617444771,2017,-0.625,9,39
W2735956829,2017,1.0,24,0
W2319960759,2014,-0.16666666666666666,5,7
W2807472134,2018,-1.0,0,13
W2319649846,2016,-0.6363636363636364,2,9
W2266964046,2015,-0.14893617021276595,20,27
W2800101026,2018,-0.5384615384615384,3,10
W1963627945,2014,-1.0,0,6
