year,conference,paper_title,paper_url,authors
2018,CHI,Agile 3D Sketching with Air Scaffolding,https://www.semanticscholar.org/paper/51eca42a98965a919fc06aae55605d92a8b2fde2,"Yongkwan Kim, KAIST ; et al. Sang-Gyun An, KAIST Joon Hyub Lee, KAIST Seok-Hyung Bae, KAIST"
2018,CHI,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,https://www.semanticscholar.org/paper/f1da7257f5b90b17130487c912d56bf7f2ad2806,"Mikko Kytö, Aalto University ; et al. Barrett Ens, University of South Australia Thammathip Piumsomboon, University of South Australia Gun A. Lee, University of South Australia Mark Billinghurst, University of South Australia"
2018,CHI,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,https://www.semanticscholar.org/paper/26d45d8bc58bfb43d3c4603321b8201219a08e32,"Zhicheng Liu, Adobe ; et al. John Thompson, Georgia Institute of Technology Alan Wilson, Adobe Systems Inc. Mira Dontcheva, Adobe James Delorey, Adobe Systems Inc. Sam Grigg, Adobe Systems Inc. Bernard Kerr, Adobe Systems Inc. John Stasko, Georgia Institute of Technology"
2018,CHI,"""A Stalker's Paradise"": How Intimate Partner Abusers Exploit Technology",https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq='A+Stalker's+Paradise':+How+Intimate+Partner+Abusers+Exploit+Technology&as_oq=&as_eq=&as_occt=any&as_sauthors=Freed,"Diana Freed, Cornell University ; et al. Jackeline Palmer, Hunter College Diana Minchala, City College of New York Karen Levy, Cornell University Thomas Ristenpart, Cornell University Nicola Dell, Cornell University"
2018,CHI,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",https://www.semanticscholar.org/paper/744e3756726d7f8e34adfb05bf58836758f60f30,"Tamy Guberek, University of Michigan ; et al. Allison McDonald, University of Michigan Sylvia Simioni, University of Michigan Abraham H. Mhaidli, University of Michigan Kentaro Toyama, University of Michigan Florian Schaub, University of Michigan"
2018,CHI,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,https://www.semanticscholar.org/paper/a3d9e24dc1a75b33673ad4c65ef69e6c9cdfd290,"Sean Peacock, Newcastle University ; et al. Robert Anderson, Newcastle University Clara Crivellaro, Newcastle University"
2018,CHI,Addressing Age-Related Bias in Sentiment Analysis,https://www.semanticscholar.org/paper/fe4a5554482d124fc7dff24d3f3bbd7a46ead900,"Mark Diaz, Northwestern University ; et al. Isaac Johnson, Northwestern University Amanda Lazar, University of Maryland Anne Marie Piper, Northwestern University Darren Gergle, Northwestern University"
2018,CHI,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland","https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=From+Her+Story,+to+Our+Story:+Digital+Storytelling+as+Public+Engagement+around+Abortion+Rights+Advocacy+in+Ireland&as_oq=&as_eq=&as_occt=any&as_sauthors=Michie","Lydia Michie, Newcastle University ; et al. Madeline Balaam, Royal Institute of Technology John McCarthy, University College Cork Timur Osadchiy, Newcastle University Kellie Morrissey, Newcastle University"
2018,CHI,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,https://www.semanticscholar.org/paper/ff76ff05aa1ab17e5ca9864df2252e6bb44c8a17,"Foad Hamidi, University of Maryland ; et al. Morgan Klaus Scheuerman, University of Maryland Stacy M. Branham, University of Maryland"
2018,CHI,How Relevant are Incidental Power Poses for HCI?,https://www.semanticscholar.org/paper/a81adf83dbac7a957b1da4451562d85a705a780f,"Yvonne Jansen, Sorbonne University Kasper Hornbæk, University of Copenhagen"
2018,CHI,Voice Interfaces in Everyday Life,https://www.semanticscholar.org/paper/4ace92c22a895d5e23e58de8d738df8e500d8d79,"Martin Porcheron, University of Nottingham ; et al. Joel E. Fischer, University of Nottingham Stuart Reeves, University of Nottingham Sarah Sharples, University of Nottingham"
2018,CHI,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,https://www.semanticscholar.org/paper/41f10ac51667c80e76a566ed0c9f18805365b929,"Nicholas Vincent, Northwestern University ; et al. Isaac Johnson, Northwestern University Brent Hecht, Northwestern University"
2018,CHI,"Let's Talk About Race: Identity, Chatbots, and AI",https://www.semanticscholar.org/paper/f34c73c75a640f59c11472bf6c9786aeb774856a,"Ari Schlesinger, Georgia Institute of Technology ; et al. Kenton P. O'Hara, Microsoft Alex S. Taylor, City, University of London"
2018,CHI,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,https://www.semanticscholar.org/paper/db2b16c3f1c094dfed8b309e668018dd14b36c7b,"Megh Marathe & Kentaro Toyama, University of Michigan"
2018,CHI,Wall++: Room-Scale Interactive and Context-Aware Sensing,https://www.semanticscholar.org/paper/39dde3d0e00b2820e52e5badb52cb70691c3423d,"Yang Zhang, Carnegie Mellon University ; et al. Chouchang (Jack) Yang, Disney Research Scott E. Hudson, Carnegie Mellon University Chris Harrison, Carnegie Mellon University Alanson Sample, Disney Research"
2018,CHI,HARK No More: On the Preregistration of CHI Experiments,https://www.semanticscholar.org/paper/38c8dbbbf52599a47a437e36d3614f78866605bb,"Andy Cockburn, University of Canterbury ; et al. Carl Gutwin, University of Saskatchewan Alan Dix, University of Birmingham"
2018,CHI,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,https://www.semanticscholar.org/paper/88495885607e50f81d4f46b33eb348f93a9f6996,"Amanda Lazar, University of Maryland ; et al. Jessica L. Feuston, Northwestern University Caroline Edasis, Mather LifeWays Anne Marie Piper, Northwestern University"
2018,CHI,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,https://www.semanticscholar.org/paper/b145f72d9abc4b2c48a46fd1bdc4476a4b5fa4f8,"Miro Mannino & Azza Abouzied, New York University"
