award_paper_id,junior_author_id,n_citing_papers_with_junior_author_post_award,n_distinct_citing_papers_with_junior,award_year,award_conference,junior_author_name,n_citing_papers_total_post_award,share_self_citing
https://openalex.org/W108223363,https://openalex.org/A5089862531,0,23,2013,ICML,Roi Livni,23,0.0
https://openalex.org/W110738662,https://openalex.org/A5102785744,0,44,2007,IJCAI,Maleeha Qazi,44,0.0
https://openalex.org/W118378920,https://openalex.org/A5012667159,0,24,2006,SIGMOD,Timothy David Brody,24,0.0
https://openalex.org/W146360823,https://openalex.org/A5017775499,0,18,2004,OSDI,Paul Twohey,18,0.0
https://openalex.org/W146360823,https://openalex.org/A5056288677,0,18,2004,OSDI,Junfeng Yang,18,0.0
https://openalex.org/W1480355964,https://openalex.org/A5081042997,1,62,2010,SODA,Arash Asadpour,62,0.016129032258064516
https://openalex.org/W1493893823,https://openalex.org/A5060832606,8,702,2008,OSDI,Dennis Fetterly,702,0.011396011396011397
https://openalex.org/W1512874001,https://openalex.org/A5007903730,1,120,2012,AAAI,Zhanying He,120,0.008333333333333333
https://openalex.org/W1515884010,https://openalex.org/A5030863830,0,2,2010,ICML,Nishant A. Mehta,2,0.0
https://openalex.org/W1538864647,https://openalex.org/A5028755343,1,53,2010,AAAI,Ruoyun Huang,53,0.018867924528301886
https://openalex.org/W1591399774,https://openalex.org/A5045181694,0,72,2015,INFOCOM,Xiaohan Kang,72,0.0
https://openalex.org/W1598241463,https://openalex.org/A5045165255,4,85,2008,NSDI,Ethan Katz-Bassett,85,0.047058823529411764
https://openalex.org/W1664963465,https://openalex.org/A5069421748,5,212,2003,IJCAI,Darse Billings,212,0.02358490566037736
https://openalex.org/W1710734607,https://openalex.org/A5053355200,33,2674,2008,OSDI,Cristian Cadar,2674,0.012341062079281975
https://openalex.org/W1710734607,https://openalex.org/A5072236833,0,2674,2008,OSDI,Dakarai Dunbar,2674,0.0
https://openalex.org/W1768003445,https://openalex.org/A5063059225,0,28,2011,AAAI,Beth Gardner,28,0.0
https://openalex.org/W1790484086,https://openalex.org/A5043431516,1,5,2008,ICSE,William N. Sumner,5,0.2
https://openalex.org/W1893312510,https://openalex.org/A5066531106,12,246,2010,OSDI,Muli Ben-Yehuda,246,0.04878048780487805
https://openalex.org/W1902527071,https://openalex.org/A5036074668,2,12,2007,AAAI,Colin McMillen,12,0.16666666666666666
https://openalex.org/W192051504,https://openalex.org/A5015729451,6,40,2008,AAAI,Liad Wagman,40,0.15
https://openalex.org/W1964639420,https://openalex.org/A5023724965,0,31,2015,CHI,Ross Teviotdale,31,0.0
https://openalex.org/W1964639420,https://openalex.org/A5064335088,0,31,2015,CHI,Alan R. Andrade,31,0.0
https://openalex.org/W1965442176,https://openalex.org/A5085818578,10,84,2010,CIKM,Gerard de Melo,84,0.11904761904761904
https://openalex.org/W1965605976,https://openalex.org/A5002696075,0,38,2005,CIKM,Bhuvan Bamba,38,0.0
https://openalex.org/W1967172267,https://openalex.org/A5113577071,7,78,2008,PODS,Atish Das Sarma,78,0.08974358974358974
https://openalex.org/W1968532429,https://openalex.org/A5009660759,8,186,2010,KDD,Dafna Shahaf,186,0.043010752688172046
https://openalex.org/W1969844906,https://openalex.org/A5080702284,1,147,2012,INFOCOM,Soumya Sen,147,0.006802721088435374
https://openalex.org/W1969844906,https://openalex.org/A5085243096,3,147,2012,INFOCOM,Carlee Joe‐Wong,147,0.02040816326530612
https://openalex.org/W1970005004,https://openalex.org/A5037888372,1,212,2014,ICSE,Alexandre Rebert,212,0.0047169811320754715
https://openalex.org/W1970005004,https://openalex.org/A5049839987,2,212,2014,ICSE,Thanassis Avgerinos,212,0.009433962264150943
https://openalex.org/W1972988737,https://openalex.org/A5032530421,33,123,2015,CHI,Pamela Wiśniewski,123,0.2682926829268293
https://openalex.org/W1974066983,https://openalex.org/A5064825146,0,82,2013,INFOCOM,Elisha Rosensweig,82,0.0
https://openalex.org/W1974329625,https://openalex.org/A5088559756,0,127,2015,CHI,Patrik Jonell,127,0.0
https://openalex.org/W1974923332,https://openalex.org/A5083692181,1,38,2012,CHI,Emilien Ghomi,38,0.02631578947368421
https://openalex.org/W1974923332,https://openalex.org/A5091725659,0,38,2012,CHI,Guillaume Faure,38,0.0
https://openalex.org/W1976821017,https://openalex.org/A5103417248,5,957,2013,SOSP,Tathagata Das,957,0.00522466039707419
https://openalex.org/W1977841655,https://openalex.org/A5088242464,1,154,2005,WWW,Xiaohui Long,154,0.006493506493506494
https://openalex.org/W1981825277,https://openalex.org/A5100388094,2,429,2002,SIGIR,Yi Zhang,429,0.004662004662004662
https://openalex.org/W1982139456,https://openalex.org/A5013088936,0,114,2012,WWW,Sebastián Conca,114,0.0
https://openalex.org/W1982170863,https://openalex.org/A5068150550,3,338,2011,SIGCOMM,Haitham Hassanieh,338,0.008875739644970414
https://openalex.org/W1982170863,https://openalex.org/A5108288895,3,338,2011,SIGCOMM,Benjamin Ransford,338,0.008875739644970414
https://openalex.org/W1982304915,https://openalex.org/A5006306262,2,63,2010,CIKM,Abhijith Kashyap,63,0.031746031746031744
https://openalex.org/W1984459117,https://openalex.org/A5086684679,45,216,2004,FOCS,Benny Applebaum,216,0.20833333333333334
https://openalex.org/W1985225657,https://openalex.org/A5014539613,0,223,2010,S&P,Ayman Jarrous,223,0.0
https://openalex.org/W1985554184,https://openalex.org/A5086854307,7,1461,2000,SIGIR,Jaana Kekäläinen,1461,0.004791238877481177
https://openalex.org/W1985727586,https://openalex.org/A5102195798,0,63,2001,WWW,Jian Yin,63,0.0
https://openalex.org/W1986345088,https://openalex.org/A5004988074,4,181,2013,CHI,Spence Green,181,0.022099447513812154
https://openalex.org/W1986692274,https://openalex.org/A5065240151,3,34,2011,CHI,Joanna Bergström,34,0.08823529411764706
https://openalex.org/W1988508518,https://openalex.org/A5013551063,19,66,2012,STOC,Kasper Green Larsen,66,0.2878787878787879
https://openalex.org/W1989450868,https://openalex.org/A5083735800,13,169,2004,UIST,Daniel Wigdor,169,0.07692307692307693
https://openalex.org/W1989813731,https://openalex.org/A5088621320,4,55,2011,CIKM,Jiafeng Guo,55,0.07272727272727272
https://openalex.org/W1991055327,https://openalex.org/A5023591555,0,273,2010,STOC,Jarosław Byrka,273,0.0
https://openalex.org/W1992825118,https://openalex.org/A5003047938,1,2096,2003,ICCV,Daniel Snow,2096,0.00047709923664122136
https://openalex.org/W1993855803,https://openalex.org/A5005472808,0,313,2004,SIGMOD,Yuhan Cai,313,0.0
https://openalex.org/W1994547327,https://openalex.org/A5008167536,0,644,2001,UIST,Chester Fitchett,644,0.0
https://openalex.org/W1995509853,https://openalex.org/A5014115669,7,35,2012,SODA,Marek Krčál,35,0.2
https://openalex.org/W1997652918,https://openalex.org/A5088296218,0,3,2013,CHI,Fransisca Endang Lestariningsih,3,0.0
https://openalex.org/W1998698985,https://openalex.org/A5046685409,11,445,2007,STOC,Sergey Yekhanin,445,0.024719101123595506
https://openalex.org/W2003513631,https://openalex.org/A5015875478,3,40,2013,CIKM,Ilaria Bordino,40,0.075
https://openalex.org/W2003513631,https://openalex.org/A5041808447,3,40,2013,CIKM,Yelena Mejova,40,0.075
https://openalex.org/W2003751975,https://openalex.org/A5055811185,0,95,2004,ICSE,Gary Wassermann,95,0.0
https://openalex.org/W2003751975,https://openalex.org/A5061727878,0,95,2004,ICSE,Carl Gould,95,0.0
https://openalex.org/W2005511465,https://openalex.org/A5082667645,2,32,2014,CHI,Marius Pallisgaard Olsen,32,0.0625
https://openalex.org/W2005511465,https://openalex.org/A5109928774,0,32,2014,CHI,Heidi Selmer Nielsen,32,0.0
https://openalex.org/W2006550435,https://openalex.org/A5069459444,0,189,2007,CHI,Alex Vorbau,189,0.0
https://openalex.org/W2006550435,https://openalex.org/A5104070883,0,189,2007,CHI,April Slayden Mitchell,189,0.0
https://openalex.org/W2007644286,https://openalex.org/A5027407975,6,135,2013,CHI,Ranjitha Kumar,135,0.044444444444444446
https://openalex.org/W2007644286,https://openalex.org/A5077783676,0,135,2013,CHI,Arvind Satyanarayan,135,0.0
https://openalex.org/W2008251177,https://openalex.org/A5083740230,6,114,2011,SIGIR,Dmitry Lagun,114,0.05263157894736842
https://openalex.org/W2009144907,https://openalex.org/A5012032862,0,48,2001,KDD,Edwin M. Knorr,48,0.0
https://openalex.org/W2010127311,https://openalex.org/A5006688930,0,56,2012,UIST,Sisil Mehta,56,0.0
https://openalex.org/W2013592197,https://openalex.org/A5000107991,0,232,2008,OSDI,Michael Vrable,232,0.0
https://openalex.org/W2013592197,https://openalex.org/A5052836807,0,232,2008,OSDI,Diwaker Gupta,232,0.0
https://openalex.org/W2013711971,https://openalex.org/A5007057846,12,782,2005,ICSE,Yvan Labiche,782,0.015345268542199489
https://openalex.org/W2019883273,https://openalex.org/A5073935967,1,127,2009,STOC,Robin A. Moser,127,0.007874015748031496
https://openalex.org/W2022815033,https://openalex.org/A5091273829,4,203,2011,CHI,Mathieu Nancel,203,0.019704433497536946
https://openalex.org/W2026168616,https://openalex.org/A5075130969,3,19,2004,CIKM,Qiankun Zhao,19,0.15789473684210525
https://openalex.org/W2027701108,https://openalex.org/A5090520110,0,29,2015,FSE,Farnaz Behrang,29,0.0
https://openalex.org/W2028953510,https://openalex.org/A5003378492,0,217,2014,UIST,Sébastien Robaszkiewicz,217,0.0
https://openalex.org/W2033201131,https://openalex.org/A5003218066,2,84,2013,VLDB,Marina Drosou,84,0.023809523809523808
https://openalex.org/W2033498419,https://openalex.org/A5038687630,1,58,2015,STOC,Sivakanth Gopi,58,0.017241379310344827
https://openalex.org/W2035801804,https://openalex.org/A5022320149,1,86,2007,SIGMOD,Abhijit Pol,86,0.011627906976744186
https://openalex.org/W2035801804,https://openalex.org/A5103467344,1,86,2007,SIGMOD,Subramanian Arumugam,86,0.011627906976744186
https://openalex.org/W2038345682,https://openalex.org/A5066623526,1,281,2007,SOSP,Ramakrishna Kotla,281,0.0035587188612099642
https://openalex.org/W2038652993,https://openalex.org/A5017101724,12,165,2011,FOCS,Shayan Oveis Gharan,165,0.07272727272727272
https://openalex.org/W2040372247,https://openalex.org/A5087981305,0,66,2015,CHI,Heather Faucett,66,0.0
https://openalex.org/W2041235686,https://openalex.org/A5100621292,1,14,2014,FSE,Mingxing Zhang,14,0.07142857142857142
https://openalex.org/W2041829641,https://openalex.org/A5001043287,1,12,2009,PODS,Stephanie Tien Lee,12,0.08333333333333333
https://openalex.org/W2041829641,https://openalex.org/A5079503799,1,12,2009,PODS,Gregory Valiant,12,0.08333333333333333
https://openalex.org/W2041853131,https://openalex.org/A5100388576,2,151,2004,ICSE,Lu Zhang,151,0.013245033112582781
https://openalex.org/W2041853131,https://openalex.org/A5100411657,0,151,2004,ICSE,Yin Liu,151,0.0
https://openalex.org/W2042454716,https://openalex.org/A5022177364,1,138,2007,FSE,Christopher Kruegel,138,0.007246376811594203
https://openalex.org/W2042616792,https://openalex.org/A5049757296,0,220,2005,UIST,Michael Bolin,220,0.0
