conference,junior,senior,diff_junior_minus_senior
NeurIPS,8.882515711293088,1.7337416681678979,7.14877404312519
NSDI,3.2043956043956046,0.3770491803278688,2.827346424067736
FOCS,3.2884615384615383,0.5438998957247133,2.744561642736825
S&P,3.1450727883538634,0.49676956209619527,2.648303226257668
SIGMETRICS,3.290452629649991,0.6717852298729827,2.6186673997770082
PODS,2.996470701526313,0.7533936651583709,2.243077036367942
ACL,2.5723214285714286,0.7981927710843373,1.7741286574870914
SOSP,2.162264150943396,0.7123924688169094,1.4498716821264865
ICCV,2.9141689373297,1.5706776797446969,1.3434912575850033
ICML,2.4444444444444446,1.1805764966740575,1.2638679477703871
CVPR,3.459378265412748,2.335238095238095,1.1241401701746527
AAAI,1.776,0.6829921331591896,1.0930078668408103
IJCAI,1.8666666666666665,0.851961718668137,1.0147049479985295
SIGIR,2.5245901639344264,1.5298117864856526,0.9947783774487737
OSDI,1.715670436187399,0.8428315280274385,0.8728389081599603
INFOCOM,1.5776380510440835,0.7150112866817157,0.8626267643623678
STOC,1.375,0.5615642402344146,0.8134357597655854
SIGMOD,1.2810734463276836,0.4786840570199424,0.8023893893077412
CIKM,1.6714285714285713,0.8985823336968376,0.7728462377317337
VLDB,1.7111111111111112,0.9645500822478104,0.7465610288633009
UIST,1.646825396825397,1.0110169097788257,0.6358084870465712
SODA,0.9861111111111112,0.4235581857489136,0.5625529253621976
ICSE,1.4671068427370948,0.9185032139577595,0.5486036287793353
CHI,1.3396359959555106,0.8033454709635051,0.5362905249920056
FSE,1.168655303030303,0.8513006688098141,0.31735463422048893
PLDI,0.8048780487804879,0.685973482205164,0.11890456657532389
WWW,0.8470588235294118,0.7590051808531948,0.08805364267621696
KDD,1.3130841121495327,1.379173740803622,-0.0660896286540893
MOBICOM,0.6566749379652606,1.01040803673812,-0.3537330987728595
SIGCOMM,0.5482263967975213,0.9667755991285404,-0.4185492023310191
