conference,award_median,regular_median,citation_ratio,n_award,n_regular,p,significant,core_rank
SIGIR,226.0,1.0,226.0,8,50,0.0002,True,A*
CHI,108.0,1.0,108.0,91,50,0.0,True,A*
MOBICOM,162.0,2.0,81.0,7,50,0.0003,True,A*
NSDI,87.0,2.0,43.5,5,50,0.002,True,Unranked
CVPR,443.0,18.5,23.95,10,50,0.0001,True,A*
ACL,217.5,19.0,11.45,14,50,0.0002,True,Unranked
KDD,223.0,20.0,11.15,11,50,0.0,True,Unranked
SOSP,166.0,18.5,8.97,15,50,0.0002,True,A*
ICML,162.0,18.5,8.76,10,50,0.0027,True,A*
VLDB,63.0,8.5,7.41,13,50,0.0002,True,A*
UIST,143.0,21.0,6.81,20,50,0.0,True,Unranked
NeurIPS,115.0,18.5,6.22,5,50,0.0005,True,A*
FSE,93.0,17.5,5.31,36,50,0.0,True,Unranked
AAAI,27.0,5.5,4.91,15,50,0.0339,True,A*
ICSE,96.0,20.0,4.8,61,50,0.0,True,A*
PLDI,67.0,14.0,4.79,17,50,0.0,True,Unranked
OSDI,160.5,69.5,2.31,14,50,0.0287,True,A*
STOC,66.5,31.0,2.15,10,50,0.0562,False,A*
IJCAI,38.0,18.5,2.05,8,50,0.0861,False,A*
SODA,85.0,47.5,1.79,5,50,0.0181,True,A*
CIKM,50.0,0.0,,11,50,0.0,True,Unranked
FOCS,119.5,0.0,,10,50,0.0,True,A*
ICCV,281.0,0.0,,7,50,0.0,True,A*
INFOCOM,90.0,0.0,,13,50,0.0,True,A*
PODS,24.0,0.0,,9,50,0.0,True,Unranked
S&P,145.0,0.0,,7,50,0.0,True,A*
SIGMOD,200.0,0.0,,11,50,0.0,True,A*
WWW,138.0,0.0,,12,50,0.0,True,Unranked
