conference,family,n_pairs,metric,med_junior,med_senior,diff,ci_j_lo,ci_j_hi,ci_s_lo,ci_s_hi,p_value,sig
AAAI,AI/ML,8,citations,1.6560379746835443,5.393038902211564,-3.73700092752802,1.125,7.960975609756097,1.3604651162790695,10.957864575478812,0.3125,False
AAAI,AI/ML,8,works,1.612019230769231,1.9020408163265308,-0.29002158555729984,1.3125,3.533333333333333,1.3468599763199651,3.949292586304471,0.3828125,False
ACL,SE,12,citations,2.793325348432056,2.2099144996126867,0.5834108488193692,0.9093612227324914,3.552269291389237,1.0319608823231474,9.852265621072739,0.5185546875,False
ACL,SE,12,works,1.75,1.941614906832298,-0.1916149068322981,1.075,3.333333333333333,1.4130263984915148,2.646153846153846,0.6220703125,False
CHI,HCI,78,citations,1.2035653825036603,1.5411625994854241,-0.3375972169817638,0.586530264279625,1.3924050632911391,1.187740498211031,1.8407396472102353,0.04552488242451933,True
CHI,HCI,78,works,1.1833333333333333,1.7154431216931216,-0.5321097883597883,1.0,1.3333333333333333,1.5535714285714286,1.9936974789915969,3.232389707428888e-05,True
CIKM,DB/IR,10,citations,1.3097035040431266,1.3604651162790695,-0.05076161223594289,0.43348900105350874,2.8389830508474576,0.7274052846950625,6.159164845878941,0.845703125,False
CIKM,DB/IR,10,works,1.1047619047619048,1.5281850353892819,-0.423423130627377,0.6875,2.2542499999999963,1.0571705426356588,3.35,0.4921875,False
CVPR,AI/ML,5,citations,3.4015151515151514,0.771067415730337,2.6304477357848146,0.1237113402061855,6.054849498327759,0.7588571428571429,4.456470588235295,0.625,False
CVPR,AI/ML,5,works,2.571428571428572,1.172043010752688,1.399385560675884,0.8571428571428571,4.114285714285715,0.8571428571428571,3.434146341463415,0.3125,False
FOCS,Theory,6,citations,4.664058679706601,0.8726026733824099,3.791456006324191,0.7968620738838966,9.117792302106029,0.4056015742572621,1.8205837297777718,0.15625,False
FOCS,Theory,6,works,1.864,1.2487958924027627,0.6152041075972374,1.15,7.942857142857142,0.6452380952380952,2.479010738691832,0.4375,False
FSE,SE,24,citations,1.3047619047619048,1.4635922330097086,-0.15883032824780385,0.3488773747841105,1.6999040476731562,1.1138843735295376,2.4381244687680916,0.09509599208831787,False
FSE,SE,24,works,1.3333333333333333,2.093296452977546,-0.7599631196442129,0.8888888888888888,1.75,1.447674418604651,3.949292586304471,0.05642664432525635,False
