conference,n_juniors,median_h,median_career_age,median_citations
CHI,119,10.0,2.0,580.0
ICSE,81,11.0,3.0,652.0
FSE,47,10.0,2.0,778.0
UIST,27,8.0,3.0,605.0
PLDI,26,8.0,2.0,469.0
SOSP,22,15.0,3.0,1284.0
OSDI,22,12.5,2.5,1400.5
ACL,19,13.0,3.0,1578.0
VLDB,18,11.0,3.0,676.5
AAAI,16,17.0,3.0,1761.0
INFOCOM,16,11.0,3.5,944.5
WWW,16,13.5,1.0,2277.0
KDD,12,16.5,3.0,3106.5
SIGMOD,12,9.0,2.5,620.5
CIKM,12,12.5,3.5,834.0
ICML,12,11.5,3.5,3794.0
PODS,12,12.0,2.0,648.5
SIGCOMM,12,15.5,2.5,2381.5
CVPR,11,9.0,1.0,1346.0
FOCS,11,12.0,2.0,449.0
IJCAI,10,12.0,3.0,759.0
STOC,10,12.0,4.0,656.0
SIGIR,9,16.0,1.0,1346.0
SIGMETRICS,9,12.0,3.0,795.0
MOBICOM,9,8.0,2.0,817.0
S&P,8,8.5,1.5,874.5
ICCV,8,12.0,2.5,2819.5
NeurIPS,7,15.0,4.0,2535.0
SODA,5,12.0,1.0,493.0
NSDI,5,18.0,2.0,2774.0
