award_id,conference,award_year,author_id,author_name,position,career_age,total_pubs,seniority,counts_by_year
1,AAAI,2018,A5026521600,Chenjun Xiao,1,6,43,senior,"[{""year"": 2012, ""works_count"": 2, ""cited_by_count"": 4}, {""year"": 2014, ""works_count"": 1, ""cited_by_count"": 1}, {""year"": 2015, ""works_count"": 1, ""cited_by_count"": 1}, {""year"": 2016, ""works_count"": 3, ""cited_by_count"": 11}, {""year"": 2017, ""works_count"": 2, ""cited_by_count"": 2}, {""year"": 2018, ""works_count"": 2, ""cited_by_count"": 20}, {""year"": 2019, ""works_count"": 3, ""cited_by_count"": 45}, {""year"": 2020, ""works_count"": 3, ""cited_by_count"": 100}, {""year"": 2021, ""works_count"": 5, ""cited_by_count"": 10}, {""year"": 2022, ""works_count"": 2, ""cited_by_count"": 1}, {""year"": 2023, ""works_count"": 5, ""cited_by_count"": 8}, {""year"": 2024, ""works_count"": 8, ""cited_by_count"": 4}, {""year"": 2025, ""works_count"": 6, ""cited_by_count"": 10}]"
1,AAAI,2018,A5014823249,Jincheng Mei,2,4,29,junior,"[{""year"": 2014, ""works_count"": 3, ""cited_by_count"": 46}, {""year"": 2015, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 2016, ""works_count"": 3, ""cited_by_count"": 10}, {""year"": 2017, ""works_count"": 1, ""cited_by_count"": 21}, {""year"": 2018, ""works_count"": 2, ""cited_by_count"": 20}, {""year"": 2019, ""works_count"": 2, ""cited_by_count"": 29}, {""year"": 2020, ""works_count"": 5, ""cited_by_count"": 102}, {""year"": 2021, ""works_count"": 6, ""cited_by_count"": 13}, {""year"": 2024, ""works_count"": 2, ""cited_by_count"": 1}, {""year"": 2025, ""works_count"": 4, ""cited_by_count"": 0}]"
1,AAAI,2018,A5010677076,Martin Müller,3,52,170,senior,"[{""year"": 1966, ""works_count"": 1, ""cited_by_count"": 1}, {""year"": 1982, ""works_count"": 1, ""cited_by_count"": 30}, {""year"": 1986, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 1987, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 1990, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 1991, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 1994, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 1995, ""works_count"": 1, ""cited_by_count"": 55}, {""year"": 1996, ""works_count"": 2, ""cited_by_count"": 63}, {""year"": 1997, ""works_count"": 2, ""cited_by_count"": 9}, {""year"": 1999, ""works_count"": 2, ""cited_by_count"": 30}, {""year"": 2000, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 2001, ""works_count"": 5, ""cited_by_count"": 171}, {""year"": 2002, ""works_count"": 6, ""cited_by_count"": 240}, {""year"": 2003, ""works_count"": 7, ""cited_by_count"": 78}, {""year"": 2004, ""works_count"": 12, ""cited_by_count"": 457}, {""year"": 2005, ""works_count"": 4, ""cited_by_count"": 56}, {""year"": 2006, ""works_count"": 7, ""cited_by_count"": 32}, {""year"": 2007, ""works_count"": 5, ""cited_by_count"": 598}, {""year"": 2008, ""works_count"": 6, ""cited_by_count"": 129}, {""year"": 2009, ""works_count"": 1, ""cited_by_count"": 78}, {""year"": 2010, ""works_count"": 10, ""cited_by_count"": 300}, {""year"": 2011, ""works_count"": 4, ""cited_by_count"": 12}, {""year"": 2012, ""works_count"": 8, ""cited_by_count"": 232}, {""year"": 2013, ""works_count"": 7, ""cited_by_count"": 64}, {""year"": 2014, ""works_count"": 14, ""cited_by_count"": 159}, {""year"": 2015, ""works_count"": 4, ""cited_by_count"": 9}, {""year"": 2016, ""works_count"": 3, ""cited_by_count"": 40}, {""year"": 2017, ""works_count"": 9, ""cited_by_count"": 43}, {""year"": 2018, ""works_count"": 6, ""cited_by_count"": 105}, {""year"": 2019, ""works_count"": 5, ""cited_by_count"": 51}, {""year"": 2020, ""works_count"": 6, ""cited_by_count"": 15}, {""year"": 2021, ""works_count"": 4, ""cited_by_count"": 49}, {""year"": 2022, ""works_count"": 2, ""cited_by_count"": 14}, {""year"": 2023, ""works_count"": 3, ""cited_by_count"": 0}, {""year"": 2024, ""works_count"": 13, ""cited_by_count"": 6}, {""year"": 2025, ""works_count"": 4, ""cited_by_count"": 0}]"
2,ACL,2018,A5054978902,John Hale,1,88,84,senior,"[{""year"": 1930, ""works_count"": 1, ""cited_by_count"": 14}, {""year"": 1971, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 1998, ""works_count"": 2, ""cited_by_count"": 232}, {""year"": 2001, ""works_count"": 2, ""cited_by_count"": 1094}, {""year"": 2003, ""works_count"": 1, ""cited_by_count"": 283}, {""year"": 2004, ""works_count"": 2, ""cited_by_count"": 53}, {""year"": 2005, ""works_count"": 2, ""cited_by_count"": 6}, {""year"": 2006, ""works_count"": 5, ""cited_by_count"": 406}, {""year"": 2008, ""works_count"": 3, ""cited_by_count"": 348}, {""year"": 2009, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2010, ""works_count"": 5, ""cited_by_count"": 138}, {""year"": 2011, ""works_count"": 3, ""cited_by_count"": 268}, {""year"": 2012, ""works_count"": 2, ""cited_by_count"": 5}, {""year"": 2013, ""works_count"": 3, ""cited_by_count"": 23}, {""year"": 2014, ""works_count"": 3, ""cited_by_count"": 89}, {""year"": 2015, ""works_count"": 1, ""cited_by_count"": 25}, {""year"": 2016, ""works_count"": 3, ""cited_by_count"": 407}, {""year"": 2017, ""works_count"": 3, ""cited_by_count"": 367}, {""year"": 2018, ""works_count"": 8, ""cited_by_count"": 256}, {""year"": 2019, ""works_count"": 5, ""cited_by_count"": 152}, {""year"": 2020, ""works_count"": 5, ""cited_by_count"": 78}, {""year"": 2021, ""works_count"": 8, ""cited_by_count"": 104}, {""year"": 2022, ""works_count"": 5, ""cited_by_count"": 61}, {""year"": 2023, ""works_count"": 2, ""cited_by_count"": 33}, {""year"": 2024, ""works_count"": 6, ""cited_by_count"": 14}, {""year"": 2025, ""works_count"": 2, ""cited_by_count"": 5}]"
2,ACL,2018,A5111222692,Chris Dyer,2,48,377,senior,"[{""year"": 1970, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 1987, ""works_count"": 1, ""cited_by_count"": 6}, {""year"": 1990, ""works_count"": 1, ""cited_by_count"": 5}, {""year"": 1994, ""works_count"": 1, ""cited_by_count"": 32}, {""year"": 1996, ""works_count"": 2, ""cited_by_count"": 62}, {""year"": 1997, ""works_count"": 2, ""cited_by_count"": 4}, {""year"": 1998, ""works_count"": 5, ""cited_by_count"": 8}, {""year"": 1999, ""works_count"": 2, ""cited_by_count"": 49}, {""year"": 2000, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2001, ""works_count"": 6, ""cited_by_count"": 18}, {""year"": 2002, ""works_count"": 5, ""cited_by_count"": 18}, {""year"": 2003, ""works_count"": 3, ""cited_by_count"": 2}, {""year"": 2004, ""works_count"": 2, ""cited_by_count"": 1}, {""year"": 2005, ""works_count"": 3, ""cited_by_count"": 31}, {""year"": 2006, ""works_count"": 2, ""cited_by_count"": 41}, {""year"": 2007, ""works_count"": 4, ""cited_by_count"": 6326}, {""year"": 2008, ""works_count"": 5, ""cited_by_count"": 5}, {""year"": 2009, ""works_count"": 17, ""cited_by_count"": 1178}, {""year"": 2010, ""works_count"": 21, ""cited_by_count"": 681}, {""year"": 2011, ""works_count"": 14, ""cited_by_count"": 869}, {""year"": 2012, ""works_count"": 14, ""cited_by_count"": 138}, {""year"": 2013, ""works_count"": 28, ""cited_by_count"": 1945}, {""year"": 2014, ""works_count"": 37, ""cited_by_count"": 2274}, {""year"": 2015, ""works_count"": 43, ""cited_by_count"": 5177}, {""year"": 2016, ""works_count"": 51, ""cited_by_count"": 10933}, {""year"": 2017, ""works_count"": 28, ""cited_by_count"": 1634}, {""year"": 2018, ""works_count"": 21, ""cited_by_count"": 3465}, {""year"": 2019, ""works_count"": 20, ""cited_by_count"": 661}, {""year"": 2020, ""works_count"": 12, ""cited_by_count"": 206}, {""year"": 2021, ""works_count"": 11, ""cited_by_count"": 353}, {""year"": 2022, ""works_count"": 7, ""cited_by_count"": 57}, {""year"": 2023, ""works_count"": 5, ""cited_by_count"": 57}, {""year"": 2024, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2025, ""works_count"": 1, ""cited_by_count"": 0}]"
2,ACL,2018,A5069646529,Adhiguna Kuncoro,3,2,35,junior,"[{""year"": 2016, ""works_count"": 4, ""cited_by_count"": 116}, {""year"": 2017, ""works_count"": 4, ""cited_by_count"": 522}, {""year"": 2018, ""works_count"": 3, ""cited_by_count"": 212}, {""year"": 2019, ""works_count"": 5, ""cited_by_count"": 151}, {""year"": 2020, ""works_count"": 2, ""cited_by_count"": 61}, {""year"": 2021, ""works_count"": 8, ""cited_by_count"": 449}, {""year"": 2022, ""works_count"": 4, ""cited_by_count"": 64}, {""year"": 2023, ""works_count"": 4, ""cited_by_count"": 9}, {""year"": 2024, ""works_count"": 1, ""cited_by_count"": 0}]"
3,ACL,2018,A5001484153,Sudha Rao,1,7,36,senior,"[{""year"": 2011, ""works_count"": 1, ""cited_by_count"": 4}, {""year"": 2015, ""works_count"": 4, ""cited_by_count"": 25}, {""year"": 2016, ""works_count"": 1, ""cited_by_count"": 5}, {""year"": 2017, ""works_count"": 3, ""cited_by_count"": 96}, {""year"": 2018, ""works_count"": 8, ""cited_by_count"": 615}, {""year"": 2019, ""works_count"": 6, ""cited_by_count"": 90}, {""year"": 2020, ""works_count"": 5, ""cited_by_count"": 7}, {""year"": 2021, ""works_count"": 5, ""cited_by_count"": 26}, {""year"": 2022, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2026, ""works_count"": 2, ""cited_by_count"": 0}]"
3,ACL,2018,A5019928111,Hal Daumé,2,17,335,senior,"[{""year"": 2001, ""works_count"": 2, ""cited_by_count"": 93}, {""year"": 2004, ""works_count"": 5, ""cited_by_count"": 86}, {""year"": 2005, ""works_count"": 3, ""cited_by_count"": 282}, {""year"": 2006, ""works_count"": 5, ""cited_by_count"": 1117}, {""year"": 2007, ""works_count"": 1, ""cited_by_count"": 114}, {""year"": 2008, ""works_count"": 4, ""cited_by_count"": 264}, {""year"": 2009, ""works_count"": 28, ""cited_by_count"": 2576}, {""year"": 2010, ""works_count"": 19, ""cited_by_count"": 1169}, {""year"": 2011, ""works_count"": 18, ""cited_by_count"": 2359}, {""year"": 2012, ""works_count"": 25, ""cited_by_count"": 2093}, {""year"": 2013, ""works_count"": 14, ""cited_by_count"": 1048}, {""year"": 2014, ""works_count"": 14, ""cited_by_count"": 1049}, {""year"": 2015, ""works_count"": 18, ""cited_by_count"": 1066}, {""year"": 2016, ""works_count"": 16, ""cited_by_count"": 638}, {""year"": 2017, ""works_count"": 12, ""cited_by_count"": 337}, {""year"": 2018, ""works_count"": 14, ""cited_by_count"": 589}, {""year"": 2019, ""works_count"": 17, ""cited_by_count"": 995}, {""year"": 2020, ""works_count"": 17, ""cited_by_count"": 197}, {""year"": 2021, ""works_count"": 18, ""cited_by_count"": 585}, {""year"": 2022, ""works_count"": 14, ""cited_by_count"": 174}, {""year"": 2023, ""works_count"": 24, ""cited_by_count"": 138}, {""year"": 2024, ""works_count"": 24, ""cited_by_count"": 78}, {""year"": 2025, ""works_count"": 23, ""cited_by_count"": 6}]"
4,ACL,2018,A5040699318,Alexandre Cremers,1,7,34,senior,"[{""year"": 2011, ""works_count"": 1, ""cited_by_count"": 9}, {""year"": 2014, ""works_count"": 3, ""cited_by_count"": 65}, {""year"": 2015, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2016, ""works_count"": 3, ""cited_by_count"": 95}, {""year"": 2017, ""works_count"": 5, ""cited_by_count"": 52}, {""year"": 2018, ""works_count"": 4, ""cited_by_count"": 93}, {""year"": 2019, ""works_count"": 1, ""cited_by_count"": 7}, {""year"": 2020, ""works_count"": 2, ""cited_by_count"": 0}, {""year"": 2021, ""works_count"": 2, ""cited_by_count"": 7}, {""year"": 2022, ""works_count"": 1, ""cited_by_count"": 2}, {""year"": 2023, ""works_count"": 2, ""cited_by_count"": 8}, {""year"": 2024, ""works_count"": 5, ""cited_by_count"": 1}, {""year"": 2025, ""works_count"": 4, ""cited_by_count"": 4}]"
5,CHI,2018,A5040685721,Yongkwan Kim,1,13,24,senior,"[{""year"": 2005, ""works_count"": 1, ""cited_by_count"": 0}, {""year"": 2008, ""works_count"": 1, ""cited_by_count"": 69}, {""year"": 2009, ""works_count"": 1, ""cited_by_count"": 76}, {""year"": 2014, ""works_count"": 2, ""cited_by_count"": 3}, {""year"": 2015, ""works_count"": 1, ""cited_by_count"": 7}, {""year"": 2016, ""works_count"": 2, ""cited_by_count"": 57}, {""year"": 2017, ""works_count"": 2, ""cited_by_count"": 27}, {""year"": 2018, ""works_count"": 5, ""cited_by_count"": 92}, {""year"": 2020, ""works_count"": 2, ""cited_by_count"": 17}, {""year"": 2023, ""works_count"": 3, ""cited_by_count"": 12}, {""year"": 2024, ""works_count"": 4, ""cited_by_count"": 22}]"
