conference,year,openalex_id,paper_title,cited_by_count,source_id,source_name,is_award
AAAI,2018,https://openalex.org/W2788603415,Memory-Augmented Monte Carlo Tree Search,20,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,1
CHI,2018,https://openalex.org/W4255717503,Agile 3D Sketching with Air Scaffolding,41,,,1
CHI,2018,https://openalex.org/W2796228338,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,278,,,1
CHI,2018,https://openalex.org/W2795857247,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,157,,,1
CHI,2018,https://openalex.org/W2889312863,"""A Stalker's Paradise"": How Intimate Partner Abusers Exploit Technology",4,https://openalex.org/S2737936280,Palgrave Communications,1
CHI,2018,https://openalex.org/W2796063124,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",98,,,1
CHI,2018,https://openalex.org/W2796122895,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,39,,,1
CHI,2018,https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,135,,,1
CHI,2018,https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",66,,,1
CHI,2018,https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,205,,,1
CHI,2018,https://openalex.org/W2795620203,How Relevant are Incidental Power Poses for HCI?,8,,,1
CHI,2018,https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,657,,,1
CHI,2018,https://openalex.org/W2795582800,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,46,,,1
CHI,2018,https://openalex.org/W2795389852,"Let's Talk About Race: Identity, Chatbots, and AI",139,,,1
CHI,2018,https://openalex.org/W2795783386,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,53,,,1
CHI,2018,https://openalex.org/W2796076588,Wall++: Room-Scale Interactive and Context-Aware Sensing,122,,,1
CHI,2018,https://openalex.org/W2807472134,HARK No More: On the Preregistration of CHI Experiments,19,https://openalex.org/S4210212669,Journal of Science Communication,1
CHI,2018,https://openalex.org/W2795429875,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,85,,,1
CHI,2018,https://openalex.org/W2795442664,Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches,60,,,1
CHI,2018,https://openalex.org/W2795619128,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,99,,,1
CHI,2018,https://openalex.org/W2795552328,Experiencing the Body as Play,117,,,1
CHI,2018,https://openalex.org/W2795802000,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,97,,,1
CHI,2018,https://openalex.org/W2795651511,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,201,,,1
CHI,2018,https://openalex.org/W2796034586,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,178,,,1
CHI,2018,https://openalex.org/W2795953912,Hoarding and Minimalism: Tendencies in Digital Data Preservation,46,,,1
CHI,2018,https://openalex.org/W2796058046,Extending Manual Drawing Practices with Artist-Centric Programming Tools,50,,,1
CVPR,2018,https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,116,,,1
IJCAI,2018,https://openalex.org/W2808437126,SentiGAN: Generating Sentimental Texts via Mixture Adversarial Networks,171,,,1
IJCAI,2018,https://openalex.org/W2808657866,Reasoning about Consensus when Opinions Diffuse through Majority Dynamics,46,,,1
IJCAI,2018,https://openalex.org/W2807936987,R-SVM+: Robust Learning with Privileged Information,11,,,1
IJCAI,2018,https://openalex.org/W2808071466,From Conjunctive Queries to Instance Queries in Ontology-Mediated Querying,1,,,1
