conference,award_year,work_id,cited_by_count,type
AAAI,2018,https://openalex.org/W2788603415,20,award
ACL,2018,https://openalex.org/W2798397965,18,award
CHI,2018,https://openalex.org/W4255717503,41,award
CHI,2018,https://openalex.org/W2796063124,98,award
CHI,2018,https://openalex.org/W2796122895,39,award
CHI,2018,https://openalex.org/W2795736453,66,award
CHI,2018,https://openalex.org/W2795908329,205,award
CHI,2018,https://openalex.org/W2795389852,139,award
CHI,2018,https://openalex.org/W2807472134,19,award
CHI,2018,https://openalex.org/W2795429875,85,award
CHI,2018,https://openalex.org/W2795442664,60,award
CHI,2018,https://openalex.org/W2795552328,117,award
CHI,2018,https://openalex.org/W2795651511,204,award
CHI,2018,https://openalex.org/W2796034586,178,award
CHI,2018,https://openalex.org/W2795953912,46,award
FOCS,2018,https://openalex.org/W2963124215,164,award
FOCS,2018,https://openalex.org/W2787022562,71,award
FSE,2018,https://openalex.org/W2899462170,95,award
FSE,2018,https://openalex.org/W2899510293,51,award
ICML,2018,https://openalex.org/W2787708942,1163,award
ICML,2018,https://openalex.org/W2790697880,21,award
ICSE,2018,https://openalex.org/W2784669118,113,award
ICSE,2018,https://openalex.org/W2799943342,0,award
ICSE,2018,https://openalex.org/W2794694213,44,award
ICSE,2018,https://openalex.org/W2795338679,88,award
ICSE,2018,https://openalex.org/W2794901250,28,award
ICSE,2018,https://openalex.org/W2964064835,94,award
IJCAI,2018,https://openalex.org/W2800007566,21,award
IJCAI,2018,https://openalex.org/W2808551187,58,award
INFOCOM,2018,https://openalex.org/W2792261072,207,award
INFOCOM,2018,https://openalex.org/W2789643397,9,award
INFOCOM,2018,https://openalex.org/W2791487310,298,award
KDD,2018,https://openalex.org/W2803831897,962,award
MOBICOM,2018,https://openalex.org/W2963620539,8,award
NeurIPS,2018,https://openalex.org/W2807548807,79,award
NeurIPS,2018,https://openalex.org/W2808746463,566,award
NSDI,2018,https://openalex.org/W2798641544,162,award
OSDI,2018,https://openalex.org/W2897044322,37,award
OSDI,2018,https://openalex.org/W2899396876,182,award
OSDI,2018,https://openalex.org/W2898817152,9,award
S&P,2018,https://openalex.org/W2787222284,70,award
SIGIR,2018,https://openalex.org/W2799048248,128,award
SIGMOD,2018,https://openalex.org/W2798891709,155,award
SODA,2018,https://openalex.org/W2793481095,91,award
UIST,2018,https://openalex.org/W2896381102,55,award
UIST,2018,https://openalex.org/W2896806675,16,award
UIST,2018,https://openalex.org/W2897456565,88,award
ACL,2017,https://openalex.org/W2611715906,10,award
CHI,2017,https://openalex.org/W2610214088,77,award
CHI,2017,https://openalex.org/W4300093098,60,award
CHI,2017,https://openalex.org/W2767327746,1237,award
CHI,2017,https://openalex.org/W2778244123,36,award
CHI,2017,https://openalex.org/W2611579020,289,award
CHI,2017,https://openalex.org/W2611667142,57,award
CHI,2017,https://openalex.org/W2610874624,74,award
CHI,2017,https://openalex.org/W2610281177,157,award
CHI,2017,https://openalex.org/W2558581619,50,award
CHI,2017,https://openalex.org/W2610414453,116,award
CHI,2017,https://openalex.org/W2610850748,54,award
CHI,2017,https://openalex.org/W2603410158,1026,award
CIKM,2017,https://openalex.org/W2767692092,50,award
CVPR,2017,https://openalex.org/W2567101557,195,award
FSE,2017,https://openalex.org/W2741400146,32,award
FSE,2017,https://openalex.org/W2741643261,56,award
FSE,2017,https://openalex.org/W2740295334,196,award
FSE,2017,https://openalex.org/W2730550703,390,award
FSE,2017,https://openalex.org/W2741221537,14,award
FSE,2017,https://openalex.org/W2741422284,56,award
ICCV,2017,https://openalex.org/W2963150697,28027,award
ICSE,2017,https://openalex.org/W2620436109,60,award
ICSE,2017,https://openalex.org/W2616911398,47,award
ICSE,2017,https://openalex.org/W2616911396,127,award
ICSE,2017,https://openalex.org/W2590575400,34,award
INFOCOM,2017,https://openalex.org/W2761021290,86,award
