work_id,year,conference,ni,nj,cd_5,total_citers,cd_reliable
W2788603415,2018,AAAI,5,13,-0.4444444444444444,18,-0.4444444444444444
W2798397965,2018,ACL,1,17,-0.8888888888888888,18,-0.8888888888888888
W2963033005,2018,ACL,66,56,0.081967213114754,122,0.081967213114754
W2899300759,2018,ACL,0,8,-1.0,8,
W4255717503,2018,CHI,2,28,-0.8666666666666667,30,-0.8666666666666667
W2796228338,2018,CHI,39,154,-0.5958549222797928,193,-0.5958549222797928
W2795857247,2018,CHI,7,114,-0.8842975206611571,121,-0.8842975206611571
W2889312863,2018,CHI,3,0,1.0,3,
W2796063124,2018,CHI,31,43,-0.1621621621621621,74,-0.1621621621621621
W2796122895,2018,CHI,12,17,-0.1724137931034483,29,-0.1724137931034483
W2795975316,2018,CHI,33,62,-0.3052631578947368,95,-0.3052631578947368
W2795736453,2018,CHI,13,29,-0.3809523809523809,42,-0.3809523809523809
W2795908329,2018,CHI,90,64,0.1688311688311688,154,0.1688311688311688
W2795620203,2018,CHI,7,0,1.0,7,
W2787712888,2018,CHI,72,128,-0.28,200,-0.28
W2795582800,2018,CHI,11,27,-0.4210526315789473,38,-0.4210526315789473
W2795389852,2018,CHI,40,60,-0.2,100,-0.2
W2795783386,2018,CHI,13,19,-0.1875,32,-0.1875
W2796076588,2018,CHI,20,60,-0.5,80,-0.5
W2807472134,2018,CHI,0,13,-1.0,13,-1.0
W2795429875,2018,CHI,6,61,-0.8208955223880597,67,-0.8208955223880597
W2795442664,2018,CHI,17,28,-0.2444444444444444,45,-0.2444444444444444
W2795619128,2018,CHI,18,63,-0.5555555555555556,81,-0.5555555555555556
W2795552328,2018,CHI,22,69,-0.5164835164835165,91,-0.5164835164835165
W2795802000,2018,CHI,10,62,-0.7222222222222222,72,-0.7222222222222222
W2795651511,2018,CHI,18,104,-0.7049180327868853,122,-0.7049180327868853
W2796034586,2018,CHI,38,77,-0.3391304347826087,115,-0.3391304347826087
W2795953912,2018,CHI,7,22,-0.5172413793103449,29,-0.5172413793103449
W2796058046,2018,CHI,10,25,-0.4285714285714285,35,-0.4285714285714285
W2897496397,2018,CIKM,4,12,-0.5,16,-0.5
W2798512429,2018,CVPR,24,90,-0.5789473684210527,114,-0.5789473684210527
W2963124215,2018,FOCS,0,122,-1.0,122,-1.0
W2787022562,2018,FOCS,0,63,-1.0,63,-1.0
W2888157438,2018,FOCS,2,12,-0.7142857142857143,14,-0.7142857142857143
W2899462170,2018,FSE,19,56,-0.4933333333333333,75,-0.4933333333333333
W2964177714,2018,FSE,1,37,-0.9473684210526316,38,-0.9473684210526316
W2884340427,2018,FSE,0,9,-1.0,9,
W2796301966,2018,FSE,10,46,-0.6428571428571429,56,-0.6428571428571429
W2899510293,2018,FSE,10,23,-0.3939393939393939,33,-0.3939393939393939
W2807866521,2018,FSE,8,92,-0.84,100,-0.84
W2787708942,2018,ICML,11,189,-0.89,200,-0.89
W2790697880,2018,ICML,7,13,-0.3,20,-0.3
W2784669118,2018,ICSE,36,62,-0.2653061224489796,98,-0.2653061224489796
W2799943342,2018,ICSE,0,0,,0,
W2794694213,2018,ICSE,8,30,-0.5789473684210527,38,-0.5789473684210527
W2795338679,2018,ICSE,7,48,-0.7454545454545455,55,-0.7454545454545455
W2962804757,2018,ICSE,10,15,-0.2,25,-0.2
W2794901250,2018,ICSE,10,15,-0.2,25,-0.2
W2964064835,2018,ICSE,0,71,-1.0,71,-1.0
W2795283266,2018,ICSE,13,42,-0.5272727272727272,55,-0.5272727272727272
W2808437126,2018,IJCAI,39,107,-0.4657534246575342,146,-0.4657534246575342
W2808657866,2018,IJCAI,1,37,-0.9473684210526316,38,-0.9473684210526316
W2807936987,2018,IJCAI,0,10,-1.0,10,-1.0
W2808071466,2018,IJCAI,1,0,1.0,1,
W2800007566,2018,IJCAI,18,0,1.0,18,1.0
W2807873315,2018,IJCAI,39,161,-0.61,200,-0.61
W2808551187,2018,IJCAI,1,50,-0.9607843137254902,51,-0.9607843137254902
W2792261072,2018,INFOCOM,72,114,-0.2258064516129032,186,-0.2258064516129032
W2789643397,2018,INFOCOM,3,5,-0.25,8,
W2791487310,2018,INFOCOM,24,176,-0.76,200,-0.76
W2803831897,2018,KDD,32,168,-0.68,200,-0.68
W2963620539,2018,MOBICOM,4,3,0.1428571428571428,7,
W2890192685,2018,NeurIPS,7,16,-0.391304347826087,23,-0.391304347826087
W2807548807,2018,NeurIPS,16,61,-0.5844155844155844,77,-0.5844155844155844
W2891786606,2018,NeurIPS,18,14,0.125,32,0.125
W2808746463,2018,NeurIPS,71,129,-0.29,200,-0.29
W2798641544,2018,NSDI,7,150,-0.910828025477707,157,-0.910828025477707
W2897044322,2018,OSDI,10,25,-0.4285714285714285,35,-0.4285714285714285
W2899396876,2018,OSDI,33,135,-0.6071428571428571,168,-0.6071428571428571
W2898817152,2018,OSDI,4,5,-0.1111111111111111,9,
W2964240296,2018,PLDI,10,81,-0.7802197802197802,91,-0.7802197802197802
W2798609500,2018,PLDI,6,45,-0.7647058823529411,51,-0.7647058823529411
W2766374749,2018,PLDI,1,13,-0.8571428571428571,14,-0.8571428571428571
W2798832443,2018,PODS,6,8,-0.1428571428571428,14,-0.1428571428571428
W2794473399,2018,S&P,4,9,-0.3846153846153846,13,-0.3846153846153846
W2787222284,2018,S&P,3,44,-0.8723404255319149,47,-0.8723404255319149
W2876796450,2018,SIGCOMM,22,61,-0.4698795180722891,83,-0.4698795180722891
W2799048248,2018,SIGIR,19,65,-0.5476190476190477,84,-0.5476190476190477
W4252400026,2018,SIGMETRICS,4,39,-0.813953488372093,43,-0.813953488372093
W2798891709,2018,SIGMOD,7,99,-0.8679245283018868,106,-0.8679245283018868
W2793481095,2018,SODA,8,42,-0.68,50,-0.68
W2974337481,2018,SODA,3,6,-0.3333333333333333,9,
W2745594004,2018,STOC,9,9,0.0,18,0.0
W2896381102,2018,UIST,10,29,-0.4871794871794871,39,-0.4871794871794871
W2896806675,2018,UIST,11,2,0.6923076923076923,13,0.6923076923076923
W2897456565,2018,UIST,3,52,-0.8909090909090909,55,-0.8909090909090909
W2802609531,2018,VLDB,59,141,-0.41,200,-0.41
W2788150400,2018,WWW,4,18,-0.6363636363636364,22,-0.6363636363636364
W2521461771,2017,AAAI,16,17,-0.0303030303030303,33,-0.0303030303030303
W2611715906,2017,ACL,4,4,0.0,8,
W2610214088,2017,CHI,7,50,-0.7543859649122807,57,-0.7543859649122807
W4300093098,2017,CHI,11,25,-0.3888888888888889,36,-0.3888888888888889
W2594859391,2017,CHI,3,12,-0.6,15,-0.6
W2591131751,2017,CHI,4,28,-0.75,32,-0.75
W2611348597,2017,CHI,9,7,0.125,16,0.125
W2767327746,2017,CHI,51,149,-0.49,200,-0.49
W2778244123,2017,CHI,22,8,0.4666666666666667,30,0.4666666666666667
W2611579020,2017,CHI,68,105,-0.2138728323699422,173,-0.2138728323699422
