author_id,award_year,pre_pubs,post_pubs,pre_cits,post_cits,pub_lift,cit_lift,conference,author_position,group
A5000009841,2018,2.2,5.4,129.2,42.6,3.2,-86.6,OSDI,first,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,ACL,middle,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,ICML,middle,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,ICSE,middle,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,IJCAI,middle,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,KDD,middle,nonaward
A5000026575,2018,5.8,6.2,241.8,5315.4,0.40000000000000036,5073.599999999999,NeurIPS,middle,nonaward
A5000141065,2017,8.2,9.4,674.0,173.0,1.200000000000001,-501.0,VLDB,middle,nonaward
A5000152601,2015,0.4,0.0,15.8,0.0,-0.4,-15.8,S&P,first,nonaward
A5000168797,2011,52.6,80.0,2243.8,5585.2,27.4,3341.3999999999996,IJCAI,middle,nonaward
A5000189617,2003,0.0,1.0,0.0,41.0,1.0,41.0,SOSP,middle,nonaward
A5000194562,2008,0.0,3.0,0.0,85.6,3.0,85.6,S&P,last,nonaward
A5000256641,2017,2.6,3.4,139.8,85.2,0.7999999999999998,-54.60000000000001,ICCV,middle,nonaward
A5000256641,2017,2.6,3.4,139.8,85.2,0.7999999999999998,-54.60000000000001,S&P,middle,nonaward
A5000294737,2016,2.2,3.8,319.6,132.4,1.5999999999999996,-187.20000000000002,IJCAI,middle,nonaward
A5000308912,2013,0.8,2.0,32.0,222.0,1.2,190.0,ICSE,first,nonaward
A5000327528,2012,25.4,31.4,1131.8,697.4,6.0,-434.4,AAAI,middle,nonaward
A5000371569,2015,0.0,1.4,0.0,11.0,1.4,11.0,PODS,middle,nonaward
A5000435983,2018,1.4,1.6,142.4,10.8,0.20000000000000018,-131.6,OSDI,middle,nonaward
A5000576164,2016,8.2,6.8,141.0,157.0,-1.3999999999999995,16.0,IJCAI,first,nonaward
A5000621430,2010,3.2,4.6,88.2,90.2,1.3999999999999995,2.0,VLDB,first,nonaward
A5000650022,2016,0.8,1.2,53.2,19.6,0.3999999999999999,-33.6,OSDI,middle,nonaward
A5000867187,2002,1.8,7.4,24.0,113.8,5.6000000000000005,89.8,FOCS,middle,nonaward
A5000947547,2010,11.6,10.6,205.2,203.8,-1.0,-1.3999999999999773,CIKM,last,nonaward
A5000953773,2011,0.0,0.0,0.0,0.0,0.0,0.0,CHI,first,nonaward
A5000977391,2004,3.4,6.8,466.0,275.4,3.4,-190.60000000000002,OSDI,first,nonaward
A5001035442,2003,1.4,8.2,113.6,987.2,6.799999999999999,873.6,FOCS,middle,nonaward
A5001035442,2007,6.4,12.0,828.8,625.8,5.6,-203.0,STOC,middle,nonaward
A5001136426,2014,3.2,4.6,314.8,193.4,1.3999999999999995,-121.4,SODA,middle,nonaward
A5001191744,2010,2.6,0.2,114.0,14.6,-2.4,-99.4,VLDB,middle,nonaward
A5001203216,2008,0.0,0.0,0.0,0.0,0.0,0.0,CHI,first,nonaward
A5001303489,2004,5.0,3.4,436.8,114.2,-1.6,-322.6,ACL,last,nonaward
A5001594573,2001,9.8,18.8,4464.2,6439.4,9.0,1975.1999999999998,ICCV,last,nonaward
A5001597905,2015,2.6,1.0,100.0,60.2,-1.6,-39.8,SOSP,first,nonaward
A5001682167,2014,5.6,9.4,441.2,217.8,3.8000000000000007,-223.39999999999998,SODA,middle,nonaward
A5001953637,2011,1.8,2.6,70.2,57.0,0.8,-13.200000000000003,AAAI,middle,nonaward
A5001997252,2009,0.6,1.0,0.8,8.0,0.4,7.2,S&P,middle,nonaward
A5002059431,2003,0.2,4.8,1.4,877.0,4.6,875.6,SOSP,last,nonaward
A5002059431,2008,5.4,5.0,2386.4,154.0,-0.40000000000000036,-2232.4,NSDI,last,nonaward
A5002060759,2017,3.0,8.8,54.4,204.2,5.800000000000001,149.79999999999998,VLDB,first,nonaward
A5002114513,2018,8.8,3.8,226.4,107.2,-5.000000000000001,-119.2,SODA,middle,nonaward
A5002177924,2011,56.6,136.6,2778.8,11059.6,80.0,8280.8,IJCAI,middle,nonaward
A5002180750,2002,2.4,1.4,9.8,3.0,-1.0,-6.800000000000001,FOCS,first,nonaward
A5002208831,2012,6.0,5.4,142.0,69.6,-0.5999999999999996,-72.4,SODA,middle,nonaward
A5002375662,2004,14.6,8.0,363.6,220.6,-6.6,-143.00000000000003,AAAI,first,nonaward
A5002431770,2014,4.4,10.6,65.4,830.4,6.199999999999999,765.0,NeurIPS,last,nonaward
A5002525752,2016,0.0,1.4,0.0,15.4,1.4,15.4,CHI,middle,nonaward
A5002623098,2018,2.4,7.4,39.4,41.8,5.0,2.3999999999999986,OSDI,middle,nonaward
A5002754414,2018,21.8,8.8,308.4,102.0,-13.0,-206.39999999999998,SODA,middle,nonaward
A5003076118,2015,0.0,0.4,0.0,15.0,0.4,15.0,SOSP,middle,nonaward
A5003225722,2016,6.0,0.8,119.4,1.8,-5.2,-117.60000000000001,UIST,middle,nonaward
A5003327487,2017,5.8,6.0,127.0,181.4,0.20000000000000018,54.400000000000006,ICCV,middle,nonaward
A5003327487,2017,5.8,6.0,127.0,181.4,0.20000000000000018,54.400000000000006,S&P,middle,nonaward
A5003562101,2015,7.0,19.4,5460.2,12189.2,12.399999999999999,6729.000000000001,NeurIPS,first,nonaward
A5003568875,2011,33.0,20.6,1652.0,787.2,-12.399999999999999,-864.8,IJCAI,middle,nonaward
A5003742829,2011,3.8,4.2,126.2,353.4,0.40000000000000036,227.2,IJCAI,middle,nonaward
A5003943585,2018,2.8,3.0,49.0,27.2,0.20000000000000018,-21.8,SODA,middle,nonaward
A5003985505,2011,3.8,3.2,570.0,127.8,-0.5999999999999996,-442.2,CVPR,first,nonaward
A5003998207,2011,5.0,7.2,372.2,396.8,2.2,24.600000000000023,IJCAI,middle,nonaward
A5004031088,2018,45.8,51.4,3647.6,1712.4,5.600000000000001,-1935.1999999999998,MOBICOM,middle,nonaward
A5004083108,2013,4.4,5.8,90.6,5589.2,1.3999999999999995,5498.599999999999,AAAI,last,nonaward
A5004134215,2018,15.4,17.0,581.0,428.0,1.5999999999999996,-153.0,SODA,middle,nonaward
A5004235109,2017,5.0,5.6,255.4,285.0,0.5999999999999996,29.599999999999994,ICCV,middle,nonaward
A5004235109,2017,5.0,5.6,255.4,285.0,0.5999999999999996,29.599999999999994,S&P,middle,nonaward
A5004386681,2016,1.2,0.6,825.2,11.4,-0.6,-813.8000000000001,OSDI,middle,nonaward
A5004535565,2004,2.6,4.6,40.6,112.6,1.9999999999999996,72.0,ACL,first,nonaward
A5004629670,2011,0.4,2.2,13.6,147.6,1.8000000000000003,134.0,ACL,first,nonaward
A5004650249,2016,2.2,7.0,19.0,3082.6,4.8,3063.6,OSDI,middle,nonaward
A5004685876,2015,0.0,0.2,0.0,1.2,0.2,1.2,FSE,middle,nonaward
A5004717608,2016,1.4,6.4,45.4,124.0,5.0,78.6,UIST,first,nonaward
A5004857788,2006,1.2,3.2,93.0,523.8,2.0,430.79999999999995,VLDB,middle,nonaward
A5004921249,2003,2.8,9.8,446.8,1058.4,7.000000000000001,611.6000000000001,IJCAI,middle,nonaward
A5004921249,2007,7.6,14.2,2333.4,952.2,6.6,-1381.2,ACL,last,nonaward
A5004930941,2017,6.8,7.4,162.2,164.6,0.6000000000000005,2.4000000000000057,ICCV,middle,nonaward
A5004930941,2017,6.8,7.4,162.2,164.6,0.6000000000000005,2.4000000000000057,S&P,middle,nonaward
A5004949920,2018,7.4,11.4,887.0,205.6,4.0,-681.4,MOBICOM,middle,nonaward
A5005051998,2018,37.2,30.0,1454.0,937.4,-7.200000000000003,-516.6,SODA,middle,nonaward
A5005110375,2007,2.6,3.4,228.2,33.6,0.7999999999999998,-194.6,SOSP,middle,nonaward
A5005192326,2014,2.6,4.6,17.0,35.0,1.9999999999999996,18.0,WWW,first,nonaward
A5005263992,2004,1.2,1.6,19.0,72.0,0.40000000000000013,53.0,ACL,first,nonaward
A5005340983,2006,3.6,4.2,427.0,813.6,0.6000000000000001,386.6,CVPR,middle,nonaward
A5005354721,2004,3.8,1.8,332.2,11.8,-1.9999999999999998,-320.4,OSDI,middle,nonaward
A5005482536,2015,0.4,0.2,2.0,0.6,-0.2,-1.4,PODS,middle,nonaward
A5005526984,2018,25.8,7.8,966.0,80.0,-18.0,-886.0,SODA,middle,nonaward
A5005554337,2008,1.2,8.0,81.2,6259.6,6.8,6178.400000000001,OSDI,first,nonaward
A5005679152,2017,2.0,10.6,100.4,292.8,8.6,192.4,ICCV,middle,nonaward
A5005679152,2017,2.0,10.6,100.4,292.8,8.6,192.4,S&P,middle,nonaward
A5005694941,2012,8.8,22.4,712.6,1200.2,13.599999999999998,487.6,ICML,middle,nonaward
A5005764203,2004,8.6,8.8,543.4,676.4,0.20000000000000107,133.0,OSDI,middle,nonaward
A5005764203,2007,7.4,19.4,361.6,1733.4,11.999999999999998,1371.8000000000002,SOSP,first,nonaward
A5005847882,2017,12.2,16.0,417.2,365.0,3.8000000000000007,-52.19999999999999,VLDB,last,nonaward
A5005848976,2015,5.8,10.2,322.2,251.4,4.3999999999999995,-70.79999999999998,PODS,middle,nonaward
A5005864661,2013,3.0,0.8,1255.2,32.0,-2.2,-1223.2,UIST,first,nonaward
A5005883880,2003,0.0,1.2,0.0,49.8,1.2,49.8,SOSP,middle,nonaward
A5005925571,2018,3.4,10.8,1404.2,269.4,7.4,-1134.8000000000002,AAAI,middle,nonaward
A5005967077,2017,20.2,29.2,979.0,580.4,9.0,-398.6,ICCV,middle,nonaward
A5005967077,2017,20.2,29.2,979.0,580.4,9.0,-398.6,S&P,middle,nonaward
A5005967499,2017,24.2,32.6,781.4,510.0,8.400000000000002,-271.4,ICCV,middle,nonaward
A5005967499,2017,24.2,32.6,781.4,510.0,8.400000000000002,-271.4,S&P,middle,nonaward
A5006074687,2017,1.8,4.8,92.8,106.6,3.0,13.799999999999997,ICCV,middle,nonaward
A5006074687,2017,1.8,4.8,92.8,106.6,3.0,13.799999999999997,S&P,middle,nonaward
