conference,award_year,work_id,work_title,author_id,author_name,author_position,cited_by_count
AAAI,2000,W1573508696,Selective Sampling with Co-Testing: Preliminary Results,A5011344987,Ion Muslea,first,3
AAAI,2000,W1573508696,Selective Sampling with Co-Testing: Preliminary Results,A5045363082,Steven Minton,middle,3
AAAI,2000,W1573508696,Selective Sampling with Co-Testing: Preliminary Results,A5089542402,Craig A. Knoblock,last,3
AAAI,2000,W140267810,An Implementation of the Combinatorial Auction Problem in ECLiPSe,A5090061474,Robert Menke,first,3
AAAI,2000,W140267810,An Implementation of the Combinatorial Auction Problem in ECLiPSe,A5053651798,Rina Dechter,last,3
AAAI,2000,W1520358705,A Demand-Driven Algorithm for Generating Minimal Models,A5023948083,Rachel Ben‐Eliyahu‐Zohary,first,2
AAAI,2004,W2789371649,Hallowed Ground: A Walk at Gettysburg,A5050625157,Eric G. Campbell,first,1
AAAI,2004,W1522355677,"Carnival-Conjure, ""Louisiana"", History and the Power of Women’s Ethnographic Narrative",A5035180110,Angeletta K. M. Gourdine,first,2
AAAI,2007,W2903059145,An Externalist Process-Oriented Framework for Artificial Consciousness.,A5069942717,Riccardo Manzotti,first,2
AAAI,2007,W2903059145,An Externalist Process-Oriented Framework for Artificial Consciousness.,A5026458035,V. Tagliasco,last,2
AAAI,2007,W2902260176,A Survey of Artificial Intelligence for Prognostics.,A5029097761,Mark Schwabacher,first,220
AAAI,2007,W2902260176,A Survey of Artificial Intelligence for Prognostics.,A5071518289,Kai Goebel,last,220
AAAI,2007,W173950190,On possible applications of rough mereology to handling granularity in ontological knowledge,A5057270325,Pavel Klinov,first,3
AAAI,2007,W173950190,On possible applications of rough mereology to handling granularity in ontological knowledge,A5062762550,Lawrence J. Mazlack,last,3
AAAI,2008,W2406311043,"An Abstract Behavior Representation for Robust, Dynamic Sequencing in a Hybrid Architecture.",A5043501397,Jeffrey P. Duffy,first,0
AAAI,2008,W2406311043,"An Abstract Behavior Representation for Robust, Dynamic Sequencing in a Hybrid Architecture.",A5085916845,Gilbert L. Peterson,last,0
AAAI,2008,W98046558,Perpetual learning for non-cooperative multiple agents,A5087020709,Luke Dickens,first,0
AAAI,2008,W17600820,Reasoning about the appropriateness of proponents for arguments,A5019854432,Anthony Hunter,first,17
AAAI,2010,W1567986438,Can Approximation Circumvent Gibbard-Satterthwaite?,A5113674516,Ariel Procaccia,first,60
AAAI,2010,W2119248411,A First Practical Algorithm for High Levels of Relational Consistency,A5051424894,Shant Karakashian,first,35
AAAI,2010,W2119248411,A First Practical Algorithm for High Levels of Relational Consistency,A5012527999,Robert J. Woodward,middle,35
AAAI,2010,W2119248411,A First Practical Algorithm for High Levels of Relational Consistency,A5056252920,Christopher G. Reeson,middle,35
AAAI,2010,W2119248411,A First Practical Algorithm for High Levels of Relational Consistency,A5084469975,Berthe Y. Choueiry,middle,35
AAAI,2010,W2119248411,A First Practical Algorithm for High Levels of Relational Consistency,A5043378003,Christian Bessière,last,35
AAAI,2010,W1507030697,Collaborative Expert Portfolio Management,A5082211098,David Stern,first,41
AAAI,2010,W1507030697,Collaborative Expert Portfolio Management,A5035277014,Horst Samulowitz,middle,41
AAAI,2010,W1507030697,Collaborative Expert Portfolio Management,A5059907791,Ralf Herbrich,middle,41
AAAI,2010,W1507030697,Collaborative Expert Portfolio Management,A5051619646,Thore Graepel,middle,41
