author_id,award_year,rel_year,pubs,cits
A5061159721,2000,-5,7,104
A5061159721,2000,-4,5,192
A5061159721,2000,-3,4,24
A5061159721,2000,-2,5,158
A5061159721,2000,-1,4,187
A5061159721,2000,0,8,389
A5061159721,2000,1,5,545
A5061159721,2000,2,12,179
A5061159721,2000,3,8,87
A5061159721,2000,4,10,506
A5061159721,2000,5,5,6
A5108612538,2000,-5,0,0
A5108612538,2000,-4,3,19
A5108612538,2000,-3,0,0
A5108612538,2000,-2,0,0
A5108612538,2000,-1,4,190
A5108612538,2000,0,1,316
A5108612538,2000,1,4,83
A5108612538,2000,2,5,42
A5108612538,2000,3,2,113
A5108612538,2000,4,4,235
A5108612538,2000,5,3,54
A5043699777,2000,-5,1,27
A5043699777,2000,-4,3,117
A5043699777,2000,-3,1,1
A5043699777,2000,-2,7,284
A5043699777,2000,-1,2,45
A5043699777,2000,0,4,1323
A5043699777,2000,1,6,1038
A5043699777,2000,2,4,5024
A5043699777,2000,3,14,629
A5043699777,2000,4,8,3855
A5043699777,2000,5,17,1107
A5109834751,2000,-5,4,186
A5109834751,2000,-4,2,51
A5109834751,2000,-3,6,944
A5109834751,2000,-2,3,311
A5109834751,2000,-1,1,7
A5109834751,2000,0,4,839
A5109834751,2000,1,0,0
A5109834751,2000,2,3,58
A5109834751,2000,3,4,30
A5109834751,2000,4,6,457
A5109834751,2000,5,4,143
A5053327496,2000,-5,3,108
A5053327496,2000,-4,1,50
A5053327496,2000,-3,4,596
A5053327496,2000,-2,1,301
A5053327496,2000,-1,0,0
A5053327496,2000,0,2,836
A5053327496,2000,1,0,0
A5053327496,2000,2,2,286
A5053327496,2000,3,0,0
A5053327496,2000,4,1,1
A5053327496,2000,5,1,1
A5028055551,2000,-5,0,0
A5028055551,2000,-4,0,0
A5028055551,2000,-3,0,0
A5028055551,2000,-2,0,0
A5028055551,2000,-1,0,0
A5028055551,2000,0,2,836
A5028055551,2000,1,0,0
A5028055551,2000,2,0,0
A5028055551,2000,3,0,0
A5028055551,2000,4,0,0
A5028055551,2000,5,0,0
A5111383811,2000,-5,1,3
A5111383811,2000,-4,0,0
A5111383811,2000,-3,3,401
A5111383811,2000,-2,1,8
A5111383811,2000,-1,0,0
A5111383811,2000,0,5,1758
A5111383811,2000,1,5,428
A5111383811,2000,2,6,4994
A5111383811,2000,3,6,1321
A5111383811,2000,4,14,2930
A5111383811,2000,5,8,212
A5009128820,2000,-5,26,720
A5009128820,2000,-4,17,969
A5009128820,2000,-3,9,308
A5009128820,2000,-2,9,268
A5009128820,2000,-1,20,841
A5009128820,2000,0,21,2201
A5009128820,2000,1,21,2046
A5009128820,2000,2,26,824
A5009128820,2000,3,22,1286
A5009128820,2000,4,22,1916
A5009128820,2000,5,30,706
A5113741389,2004,-5,2,23
A5113741389,2004,-4,2,2
A5113741389,2004,-3,5,673
A5113741389,2004,-2,7,851
