conference,year,openalex_id,title,cited_by_count,source_id,source_name,is_award
AAAI,2018,https://openalex.org/W2963076818,Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition,4646,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2964051675,Deeper Insights Into Graph Convolutional Networks for Semi-Supervised Learning,2489,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2728059831,Convolutional 2D Knowledge Graph Embeddings,2322,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2788403449,Anchors: High-Precision Model-Agnostic Explanations,2006,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2761873684,Rainbow: Combining Improvements in Deep Reinforcement Learning,1679,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2617547828,Counterfactual Multi-Agent Policy Gradients,1569,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2788919350,An End-to-End Deep Learning Architecture for Graph Classification,1470,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2754517384,Deep Reinforcement Learning That Matters,1446,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2760103357,FiLM: Visual Reasoning with a General Conditioning Layer,1419,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
AAAI,2018,https://openalex.org/W2963043696,Learning to Generalize: Meta-Learning for Domain Generalization,1183,https://openalex.org/S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,0
CHI,2018,https://openalex.org/W2902417118,"Cultural additivity: behavioural insights from the interaction of Confucianism, Buddhism and Taoism in folktales",472,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2883789863,Pharming animals: a global history of antibiotics in food production (1935–2017),376,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2896537918,The evolving response to antibiotic resistance (1945–2018),219,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2804274284,Socially mediated populism: the communicative strategies of political leaders on Facebook,185,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2810862855,Right-wing populism and the dynamics of style: a discourse-analytic perspective on mediated political performances,138,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2787443769,What has economics got to do with it? The impact of socioeconomic factors on mental health and the case for collective action,127,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2875242420,An introduction to achieving policy impact for early career researchers,122,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2790037481,The Prevent strategy and the UK ‘war on terror’: embedding infrastructures of surveillance in Muslim communities,118,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2796031215,Will the Sustainable Development Goals be fulfilled? Assessing present and future global poverty,117,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2804137819,Healthy publics: enabling cultures and environments for health,114,https://openalex.org/S2737936280,Palgrave Communications,0
CHI,2018,https://openalex.org/W2784752296,The potential of comics in science communication,233,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2810831265,What do people know about climate change ― and how confident are they? On measurements and analyses of science related knowledge,51,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2792048062,AI writing bots are about to revolutionise science journalism: we must shape how this is done,39,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2891629907,Structure and development of science communication research: co-citation analysis of a developing field,38,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2891979380,Digging deeper? Muddling through? How environmental activists make sense and use of science —an exploratory study,36,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2808814610,"Communicating data: interactive infographics, scientific data and credibility",34,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2785317911,Appealing to different motivations in a message to recruit citizen scientists: results of a field experiment,29,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2900157232,Ethics and practice in science communication,26,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2807896567,Speaking about science: a student-led training program improves graduate students' skills in public communication,25,https://openalex.org/S4210212669,Journal of Science Communication,0
CHI,2018,https://openalex.org/W2802268613,"Lots of data, lots of hurdles: aggregating usage information from distributed Open Access repositories",1,https://openalex.org/S4210212669,Journal of Science Communication,0
OSDI,2018,https://openalex.org/W2804032941,TVM: an automated end-to-end optimizing compiler for deep learning,909,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899160556,Pocket: elastic ephemeral storage for serverless analytics,159,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899435347,Graviton: trusted execution environments on GPUs,124,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899106940,Adaptive dynamic checkpointing for safe efficient intermittent computing,92,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2898855235,Neural adaptive content-aware internet video delivery,88,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2898662556,Write-optimized and high-performance hashing index scheme for persistent memory,87,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2898662643,Floem: a programming system for NIC-accelerated network applications,65,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899117404,Taming performance variability,63,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899225507,Deconstructing RDMA-enabled distributed transactions: hybrid is better,63,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899472238,"Three steps is all you need: fast, accurate, automatic scaling decisions for distributed streaming dataflows",57,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2804032941,TVM: an automated end-to-end optimizing compiler for deep learning,909,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899160556,Pocket: elastic ephemeral storage for serverless analytics,159,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899435347,Graviton: trusted execution environments on GPUs,124,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2899106940,Adaptive dynamic checkpointing for safe efficient intermittent computing,92,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
OSDI,2018,https://openalex.org/W2898855235,Neural adaptive content-aware internet video delivery,88,https://openalex.org/S4306420647,Operating Systems Design and Implementation,0
