conference,work_id,cited_by_count,pub_year,type
AAAI,W4295846939,7,2011.0,regular
AAAI,W4382240311,4,2023.0,regular
AAAI,W2413524703,13,2016.0,regular
AAAI,W2579266881,1,2016.0,regular
AAAI,W4409381815,0,2025.0,regular
AAAI,W4409366331,0,2025.0,regular
AAAI,W4409348110,1,2025.0,regular
AAAI,W4409346843,0,2025.0,regular
AAAI,W4409367019,0,2025.0,regular
AAAI,W2788991205,41,2018.0,regular
AAAI,W2789129057,53,2018.0,regular
AAAI,W4409361213,0,2025.0,regular
AAAI,W2964132277,83,2018.0,regular
AAAI,W3176314121,19,2021.0,regular
AAAI,W4409361247,0,2025.0,regular
AAAI,W4283794108,3,2022.0,regular
AAAI,W4409368004,0,2025.0,regular
AAAI,W4409366904,0,2025.0,regular
AAAI,W4393178520,15,2024.0,regular
AAAI,W2604670302,4,2017.0,regular
AAAI,W2180008728,20,2014.0,regular
AAAI,W2806319414,8,2018.0,regular
AAAI,W4283806310,31,2022.0,regular
AAAI,W4393149265,3,2024.0,regular
AAAI,W4409347888,0,2025.0,regular
AAAI,W3037121946,2,2020.0,regular
AAAI,W642078922,15,2015.0,regular
AAAI,W2399464881,1,2015.0,regular
AAAI,W4393147601,2,2024.0,regular
AAAI,W2569999341,180,2016.0,regular
AAAI,W2997240763,26,2020.0,regular
AAAI,W2905224739,40,2019.0,regular
AAAI,W2997324774,12,2020.0,regular
AAAI,W213042921,64,2015.0,regular
AAAI,W2998027150,126,2020.0,regular
AAAI,W2998124973,47,2020.0,regular
AAAI,W2998275867,39,2020.0,regular
AAAI,W4409364975,1,2025.0,regular
AAAI,W4283801188,34,2022.0,regular
AAAI,W2997464611,6,2020.0,regular
AAAI,W4393156988,6,2024.0,regular
AAAI,W4409346450,1,2025.0,regular
AAAI,W2997126574,5,2020.0,regular
AAAI,W2904427185,586,2019.0,regular
AAAI,W3186792733,4,2022.0,regular
AAAI,W2997135920,37,2020.0,regular
AAAI,W4382467284,4,2023.0,regular
AAAI,W2221013838,1,2015.0,regular
AAAI,W2951803578,3,2021.0,regular
AAAI,W1881869259,65,2021.0,regular
ACL,W2962680951,9,2017.0,regular
ACL,W2963568334,21,2015.0,regular
ACL,W3209174574,27,2021.0,regular
ACL,W2963956412,22,2018.0,regular
ACL,W3008725893,27,2019.0,regular
ACL,W2963666573,65,2016.0,regular
ACL,W3212487835,20,2021.0,regular
ACL,W2996580318,15,2018.0,regular
ACL,W3186758430,65,2021.0,regular
ACL,W3213882184,22,2017.0,regular
ACL,W3209830540,9,2021.0,regular
ACL,W2963814707,5,2018.0,regular
ACL,W3165064550,4,2021.0,regular
ACL,W2963516646,95,2016.0,regular
ACL,W3181356059,77,2020.0,regular
ACL,W2965886910,9,2017.0,regular
ACL,W4296700525,12,2022.0,regular
ACL,W3211637939,11,2021.0,regular
ACL,W2996447514,17,2018.0,regular
ACL,W3203095376,20,2021.0,regular
ACL,W3199713517,17,2021.0,regular
ACL,W4226283412,27,2021.0,regular
ACL,W4287023797,5,2021.0,regular
ACL,W2963064364,11,2018.0,regular
ACL,W2963332798,1,2015.0,regular
ACL,W2962871321,25,2016.0,regular
ACL,W2942508063,91,2019.0,regular
ACL,W3186208756,34,2021.0,regular
ACL,W3205813705,8,2021.0,regular
ACL,W3140129157,1,2011.0,regular
ACL,W3215953200,6,2021.0,regular
ACL,W2963242019,97,2016.0,regular
ACL,W2963001435,7,2017.0,regular
ACL,W2963488431,14,2017.0,regular
ACL,W2964068172,11,2016.0,regular
ACL,W2962691672,18,2016.0,regular
ACL,W2964133791,2,2017.0,regular
ACL,W3206837489,45,2021.0,regular
ACL,W2963978069,183,2016.0,regular
ACL,W3215301771,71,2021.0,regular
ACL,W2963872945,16,2015.0,regular
ACL,W3197730363,36,2021.0,regular
ACL,W3197867394,32,2021.0,regular
ACL,W3210225642,30,2021.0,regular
ACL,W4293248187,1,2022.0,regular
ACL,W2964008148,51,2017.0,regular
ACL,W2987616794,22,2019.0,regular
ACL,W3010999265,24,2018.0,regular
ACL,W3120966062,3,2019.0,regular
ACL,W2963597965,15,2016.0,regular
CHI,W2749903946,0,2016.0,regular
CHI,W2919533521,2,2017.0,regular
CHI,W2109519643,6,2007.0,regular
CHI,W1885175810,2,2009.0,regular
CHI,W2608657936,0,2017.0,regular
CHI,W2461238350,0,2012.0,regular
CHI,W1819564095,10,2009.0,regular
CHI,W2989672286,0,2017.0,regular
CHI,W2769447570,0,2002.0,regular
CHI,W2901395232,6,2008.0,regular
CHI,W2130362916,5,2007.0,regular
CHI,W1700964303,24,1991.0,regular
CHI,W2979318062,5,2019.0,regular
CHI,W1797971539,0,2015.0,regular
CHI,W1596752715,1,2011.0,regular
CHI,W2922313610,7,2013.0,regular
CHI,W2905729550,3,2018.0,regular
CHI,W2588305251,0,2012.0,regular
CHI,W2909062758,0,2018.0,regular
CHI,W1485126754,0,2009.0,regular
CHI,W2463880449,6,2015.0,regular
CHI,W2103893982,3,2011.0,regular
CHI,W1856035776,4,2014.0,regular
CHI,W2981648241,0,2016.0,regular
CHI,W840283365,0,2014.0,regular
CHI,W2474849788,5,2012.0,regular
CHI,W2497834591,0,2014.0,regular
CHI,W2986520524,0,2018.0,regular
CHI,W2991336811,0,2018.0,regular
CHI,W2514275284,1,2003.0,regular
CHI,W2980231050,0,2014.0,regular
CHI,W909597098,5,2009.0,regular
CHI,W1673944105,1,2012.0,regular
CHI,W2142327692,12,2010.0,regular
CHI,W2979317563,0,2014.0,regular
CHI,W2211295150,5,2009.0,regular
CHI,W2443761299,0,2012.0,regular
CHI,W564703744,0,2003.0,regular
CHI,W1965017294,5,2000.0,regular
CHI,W2465054073,0,2003.0,regular
