author_id,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works,conference,author_position,group,treatment
A5000299170,2011,0.0,0.0,0.0,0.0,,,ICSE,middle,nonaward,
A5000301016,2011,162.4,109.8,12.2,6.6,0.6761083743842364,0.5409836065573771,VLDB,last,nonaward,
A5000302173,2007,27.2,22.6,1.2,2.2,0.8308823529411765,1.8333333333333333,IJCAI,first,nonaward,
A5000469305,2011,83.0,22.2,5.4,3.4,0.2674698795180723,0.6296296296296295,MOBICOM,first,nonaward,
A5000576164,2016,141.0,157.2,8.2,6.8,1.1148936170212764,0.8292682926829269,IJCAI,first,nonaward,
A5000827846,2017,0.0,0.0,6.4,5.6,,0.8749999999999999,ICCV,first,nonaward,
A5000968210,2007,30.6,68.8,3.0,3.6,2.2483660130718954,1.2,CHI,first,nonaward,
A5001203216,2008,0.0,0.0,0.0,0.0,,,CHI,first,nonaward,
A5001206547,2006,746.4,1697.8,20.6,39.4,2.27465166130761,1.9126213592233008,ICML,middle,nonaward,
A5001303489,2004,437.0,114.2,5.0,3.4,0.2613272311212815,0.6799999999999999,ACL,last,nonaward,
A5001306703,2015,4.8,58.8,1.8,7.2,12.25,4.0,PODS,middle,nonaward,
A5001307762,2010,119.6,127.4,3.2,3.6,1.065217391304348,1.125,ICSE,middle,nonaward,
A5001413512,2010,42.6,126.8,1.4,4.4,2.976525821596244,3.1428571428571432,CIKM,last,nonaward,
A5001422310,2000,350.0,663.0,14.0,15.6,1.8942857142857144,1.1142857142857143,SIGIR,first,nonaward,
A5001530127,2014,0.2,11.0,1.2,2.4,55.0,2.0,CHI,middle,nonaward,
A5001653478,2017,0.0,50.8,0.0,2.4,,,SIGIR,middle,nonaward,
A5001682481,2003,28.8,437.6,4.8,29.2,15.194444444444445,6.083333333333333,WWW,middle,nonaward,
A5001723274,2007,96.8,24.4,1.6,1.4,0.2520661157024793,0.8749999999999999,SOSP,middle,nonaward,
A5001763022,2013,601.0,1430.8,5.0,12.4,2.380698835274542,2.48,AAAI,middle,nonaward,
A5001863597,2017,95.2,166.8,5.6,6.0,1.7521008403361344,1.0714285714285714,SIGIR,last,nonaward,
A5001877366,2010,610.6,1630.6,18.0,23.2,2.670488044546348,1.2888888888888888,ICML,last,nonaward,
A5001886502,2016,163.8,417.0,4.6,10.8,2.5457875457875456,2.347826086956522,UIST,first,nonaward,
A5001899130,2016,19.2,0.2,2.8,0.4,0.0104166666666666,0.1428571428571428,STOC,first,nonaward,
A5001911595,2012,10.2,10.0,1.8,2.0,0.9803921568627452,1.1111111111111112,VLDB,last,nonaward,
A5002013490,2005,0.2,13.2,0.2,2.2,65.99999999999999,11.0,SOSP,middle,nonaward,
A5002075773,2015,657.2,235.0,19.6,7.0,0.3575776019476567,0.3571428571428571,SOSP,last,nonaward,
A5002102744,2007,396.6,131.0,13.6,13.2,0.3303076147251639,0.9705882352941176,FSE,middle,nonaward,
A5002111312,2014,48.8,23.0,2.6,3.8,0.4713114754098361,1.4615384615384617,NeurIPS,middle,nonaward,
A5002139930,2005,11.6,425.8,3.2,14.4,36.70689655172414,4.5,VLDB,middle,nonaward,
A5002203026,2009,502.2,342.8,11.4,16.4,0.6825965750696934,1.43859649122807,VLDB,middle,nonaward,
A5002285642,2010,35.0,21.2,0.6,1.2,0.6057142857142856,2.0,OSDI,first,nonaward,
A5002296631,2017,0.8,5.8,2.4,7.8,7.249999999999999,3.25,ICCV,first,nonaward,
A5002413906,2006,249.2,172.4,5.6,8.4,0.6918138041733548,1.5000000000000002,VLDB,middle,nonaward,
A5002436680,2008,1648.8,25.6,14.4,5.6,0.0155264434740417,0.3888888888888888,OSDI,last,nonaward,
A5002459127,2007,107.2,282.8,6.2,4.4,2.638059701492537,0.7096774193548387,CVPR,last,nonaward,
A5002563905,2018,26.8,23.8,1.4,2.6,0.8880597014925373,1.8571428571428572,INFOCOM,middle,nonaward,
A5002645384,2008,1.4,3.4,0.2,0.6,2.428571428571429,3.0,ICSE,first,nonaward,
A5002705704,2012,107.4,170.6,4.8,12.2,1.5884543761638732,2.5416666666666665,SODA,first,nonaward,
A5002965713,2010,0.0,66.2,0.0,0.4,,,ICSE,first,nonaward,
A5003010093,2005,25.4,222.0,0.8,6.6,8.740157480314961,8.249999999999998,ICSE,first,nonaward,
A5003126135,2011,38.6,145.0,2.8,7.8,3.756476683937824,2.785714285714286,SOSP,middle,nonaward,
A5003181758,2017,12.8,5.4,2.4,1.0,0.421875,0.4166666666666667,SIGIR,middle,nonaward,
A5003324660,2010,2.0,12.2,0.4,1.6,6.1,4.0,CIKM,first,nonaward,
A5003336244,2011,435.0,135.2,17.0,11.4,0.3108045977011494,0.6705882352941177,FOCS,last,nonaward,
A5003384121,2016,29.4,25.8,3.6,2.6,0.8775510204081634,0.7222222222222222,IJCAI,middle,nonaward,
A5003427260,2017,2.0,0.0,35.0,3.0,0.0,0.0857142857142857,S&P,middle,nonaward,
A5003625306,2014,26.0,8.4,1.8,1.8,0.3230769230769231,1.0,FSE,first,nonaward,
A5003707725,2013,0.0,128.2,0.0,2.6,,,VLDB,first,nonaward,
A5003963139,2018,217.4,91.0,8.6,13.8,0.4185832566697332,1.604651162790698,NeurIPS,last,nonaward,
A5004068520,2011,55.2,362.4,2.4,9.8,6.565217391304347,4.083333333333334,SOSP,last,nonaward,
A5004216729,2018,217.2,61.6,5.6,2.6,0.283609576427256,0.4642857142857143,SODA,middle,nonaward,
A5004270706,2017,370.0,188.8,21.2,24.8,0.5102702702702703,1.169811320754717,UIST,first,nonaward,
A5004350204,2016,2597.2,404.4,28.2,10.0,0.1557061450793161,0.3546099290780142,UIST,middle,nonaward,
A5004507358,2018,91.8,1099.2,13.0,32.2,11.973856209150329,2.476923076923077,NeurIPS,middle,nonaward,
A5004535565,2004,40.6,112.6,2.6,4.6,2.7733990147783247,1.769230769230769,ACL,first,nonaward,
A5004587018,2010,76.8,59.4,3.0,6.8,0.7734375,2.2666666666666666,AAAI,middle,nonaward,
A5004722373,2018,0.6,4.2,0.2,2.4,7.000000000000001,11.999999999999998,ACL,first,nonaward,
A5004745943,2006,154.2,3671.4,6.8,41.4,23.80933852140078,6.088235294117647,ICML,middle,nonaward,
A5004825611,2018,591.4,235.8,29.6,33.0,0.3987149137639499,1.114864864864865,NeurIPS,first,nonaward,
A5004921249,2007,2333.6,952.2,7.6,14.2,0.4080390812478574,1.868421052631579,ACL,last,nonaward,
A5004960011,2015,348.4,73.6,19.6,10.0,0.2112514351320321,0.5102040816326531,IJCAI,middle,nonaward,
A5004976322,2008,635.0,149.2,5.8,3.2,0.2349606299212598,0.5517241379310345,S&P,first,nonaward,
A5005072713,2014,149.2,556.2,2.0,2.6,3.727882037533512,1.3,SODA,middle,nonaward,
A5005263992,2004,19.0,72.0,1.2,1.6,3.789473684210526,1.3333333333333337,ACL,first,nonaward,
A5005431760,2018,2.0,0.6,2.0,2.0,0.3,1.0,KDD,first,nonaward,
A5005443434,2015,36.0,0.0,1.6,0.2,0.0,0.125,SOSP,middle,nonaward,
A5005448339,2015,443.8,344.6,4.8,10.0,0.7764758900405588,2.083333333333333,PODS,middle,nonaward,
A5005554337,2008,81.4,6262.6,1.2,8.0,76.93611793611794,6.666666666666667,OSDI,first,nonaward,
A5005589342,2014,11.8,10.0,4.4,5.0,0.847457627118644,1.1363636363636362,NeurIPS,last,nonaward,
A5005606525,2014,1.8,0.0,1.0,0.0,0.0,0.0,WWW,middle,nonaward,
A5005844709,2013,318.8,396.8,5.6,3.4,1.2446675031367629,0.6071428571428572,UIST,middle,nonaward,
