award_id,conference,year,award_title,best_score
1,CHI,2018,Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality,36
2,CHI,2018,Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring,25
3,CHI,2018,"""A Stalker's Paradise"": How Intimate Partner Abusers Exploit Technology",19
4,CHI,2018,"Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants",43
5,CHI,2018,Streets for People: Engaging Children in Placemaking Through a Socio-technical Process,35
7,CHI,2018,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",39
8,CHI,2018,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,31
11,CHI,2018,Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities,28
12,CHI,2018,"Let's Talk About Race: Identity, Chatbots, and AI",60
13,CHI,2018,Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes,30
14,CHI,2018,Wall++: Room-Scale Interactive and Context-Aware Sensing,32
15,CHI,2018,HARK No More: On the Preregistration of CHI Experiments,24
16,CHI,2018,Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy,38
18,CHI,2018,Project Zanzibar: A Portable and Flexible Tangible Interaction Platform,46
20,CHI,2018,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,27
21,CHI,2018,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,37
22,CHI,2018,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,49
23,CHI,2018,Hoarding and Minimalism: Tendencies in Digital Data Preservation,0
26,ICML,2018,Delayed Impact of Fair Machine Learning,35
28,ICSE,2018,Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Use-After-Free Vulnerabilities,25
29,ICSE,2018,Identifying Design Problems in the Source Code: A Grounded Theory,83
45,SIGMOD,2018,SuRF: Practical Range Query Filtering with Fast Succinct Tries,34
46,CHI,2017,Kinecting with Orangutans: Zoo Visitors' Empathetic Responses to Animals' Use of Interactive Technology,29
47,CHI,2017,"Organic Primitives: Synthesis and Design of pH-Reactive Materials using Molecular I/O for Sensing, Actuation, and Interaction",37
48,CHI,2017,Understanding Public Evaluation: Quantifying Experimenter Intervention,38
50,CHI,2017,Illumination Aesthetics: Light as a Creative Material within Computational Design,44
51,CHI,2017,Empowered participation: How Citizens Use Technology in Local Governance,41
52,CHI,2017,Stories from Survivors: Privacy & Security Practices when Coping with Intimate Partner Abuse,34
53,CHI,2017,ShareVR: Enabling Co-Located Experiences for Virtual Reality between HMD and Non-HMD Users,0
55,CHI,2017,Explaining the Gap: Visualizing One's Predictions Improves Recall and Comprehension of Data,36
56,CHI,2017,mHealth for Maternal Mental Health: Everyday Wisdom in Ethical Design,66
59,CHI,2017,BIGnav: Bayesian Information Gain for Guiding Multiscale Navigation,22
61,CHI,2017,Flash Organizations: Crowdsourcing Complex Work by Structuring Crowds As Organizations,36
62,CHI,2017,Reflective Practicum: A Framework of Sensitising Concepts to Design for Transformative Reflection,36
66,CHI,2017,You Want Me to Work with Who?: Stakeholder Perceptions of Automated Team Formation in Project-based Courses,30
67,CHI,2017,Organic Primitives: Synthesis and Design of pH-Reactive Materials using Molecular I/O for Sensing Actuation and Interaction,37
83,SOSP,2017,"The Efficient Server Audit Problem, Deduplicated Re-execution, and the Web",0
84,SOSP,2017,DeepXplore: Automated Whitebox Testing of Deep Learning Systems,32
90,CHI,2016,Project Jacquard: Interactive Digital Textiles at Scale,39
91,CHI,2016,"""I don't Want to Wear a Screen"": Probing Perceptions of and Possibilities for Dynamic Displays on Clothing",29
92,CHI,2016,Momentary Pleasure or Lasting Meaning?: Distinguishing Eudaimonic and Hedonic User Experiences,30
93,CHI,2016,RapID: A Framework for Fabricating Low-Latency Interactive Objects with RFID Tags,26
95,CHI,2016,Haptic Wave: A Cross-Modal Interface for Visually Impaired Audio Producers,0
96,CHI,2016,FlexCase: Enhancing Mobile Interaction with a Flexible Sensing and Display Cover,18
97,CHI,2016,Dear Diary: Teens Reflect on Their Weekly Online Risk Experiences,29
100,CHI,2016,Learn Piano with BACh: An Adaptive Learning Interface that Adjusts Task Difficulty Based on Brain State,35
101,CHI,2016,Smart Touch: Improving Touch Accuracy for People with Motor Impairments with Template Matching,31
103,CHI,2016,Developing and Validating the User Burden Scale: A Tool for Assessing User Burden in Computing Systems,37
106,CHI,2016,Empath: Understanding Topic Signals in Large-Scale Text,40
107,CHI,2016,Lock n' LoL: Group-based Limiting Assistance App to Mitigate Smartphone Distractions in Group Activities,0
108,ICML,2016,Dueling Network Architectures for Deep Reinforcement Learning,35
116,ICSE,2016,"On the Techniques We Create, the Tools We Build, and Their Misalignments: A Study of KLEE",41
118,ICSE,2016,VDTest: An Automated Framework to Support Testing for Virtual Devices,16
119,ICSE,2016,Work Practices and Challenges in Pull-Based Development: The Contributor's Perspective,35
120,NeurIPS,2016,Value Iteration Networks,29
122,OSDI,2016,Early Detection of Configuration Errors to Reduce Failure Damage,34
128,SIGMOD,2016,Wander Join: Online Aggregation via Random Walks,37
129,CHI,2015,Affordance++: Allowing Objects to Communicate Dynamic Use,36
